tool_name,slug,category,batch,build_priority_score,risk_level,complexity_level,search_value_estimate,why_this_batch,must_have_features,index_status
"China Names Generator","china-names-generator","china names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Disc Jockey Names Generator","disc-jockey-names-generator","disc jockey names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Pronunciation Generator","name-pronunciation-generator","name pronunciation generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Wizarding Names Generator","wizarding-names-generator","wizarding names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Fey Names Generator","fey-names-generator","fey names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Good Last Smauaro Name Generator","good-last-smauaro-name-generator","good last smauaro name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Gothic Generator Name","gothic-generator-name","gothic generator name","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Thieves Guild Names Generator","thieves-guild-names-generator","thieves guild names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Fun Generator Name","fun-generator-name","fun generator name","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"K Pop Group Name Generator","k-pop-group-name-generator","k pop group name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Picker Generator","name-picker-generator","name picker generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Randomizer Generator","name-randomizer-generator","name randomizer generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Performer Names Generator","performer-names-generator","performer names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Cake Bakery Names Generator","cake-bakery-names-generator","cake bakery names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Free Ambigram Generator Two Names","free-ambigram-generator-two-names","free ambigram generator two names","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Insta Namen Generator","insta-namen-generator","insta namen generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Project Name Generator Using Keywords","project-name-generator-using-keywords","project name generator using keywords","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"My Little Pony Name Generator","my-little-pony-name-generator","my little pony name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Piraten Namen Generator","piraten-namen-generator","piraten namen generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Last Name And First Name Generator","last-name-and-first-name-generator","last name and first name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Baby Name Generator With Last Name","baby-name-generator-with-last-name","baby name generator with last name","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"High Valyrian Last Name Generator","high-valyrian-last-name-generator","high valyrian last name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Nickname Generator Based On Name","nickname-generator-based-on-name","nickname generator based on name","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Phonetic Spelling Of Name Generator","phonetic-spelling-of-name-generator","phonetic spelling of name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Place Generator","name-place-generator","name place generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Japanese Country Names Generator","japanese-country-names-generator","japanese country names generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Combination Generator","name-combination-generator","name combination generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Superhero Name Generator Based On Powers","superhero-name-generator-based-on-powers","superhero name generator based on powers","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Wu Tang Clan Rap Name Generator","wu-tang-clan-rap-name-generator","wu tang clan rap name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Nicknames Generator","nicknames-generator","nicknames generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Spin The Wheel Name Generator","spin-the-wheel-name-generator","spin the wheel name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Lettering Generator","lettering-generator","lettering generator | chicano lettering generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Slow Reverb Generator","slow-reverb-generator","slow reverb generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Language Generator","language-generator","language generator | random language generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Scottish Accent Generator","scottish-accent-generator","scottish accent generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Ego Generator","ego-generator","ego generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Australian Accent Generator","australian-accent-generator","australian accent generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Space Type Generator","space-type-generator","space type generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"German Accent Generator","german-accent-generator","german accent generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Accent Generator","accent-generator","accent generator | irish accent generator | british accent generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Papyrus Generator","papyrus-generator","papyrus generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Spanish Generator","spanish-generator","spanish generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Type Generator","type-generator","type generator | lettertype generator | type pokemon generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Typing Generator","typing-generator","typing generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"User Generator","user-generator","user generator | user name generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Bind Rune Generator","bind-rune-generator","bind rune generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Front Generator","front-generator","front generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Grafiti Generator","grafiti-generator","grafiti generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Ipa Generator","ipa-generator","ipa generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Sam Tts Generator","sam-tts-generator","sam tts generator | microsoft sam tts generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Serif Generator","serif-generator","serif generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Shakespeare Generator","shakespeare-generator","shakespeare generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Stand Name Generator Based On Prompt","stand-name-generator-based-on-prompt","stand name generator based on prompt","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Twitter Generator","twitter-generator","twitter generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Drawing Generator","name-drawing-generator","name drawing generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Color Palette Generator From Name","color-palette-generator-from-name","color palette generator from name","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
"Name Design Generator","name-design-generator","name design generator","Batch 2","60","low","low","medium","Useful mid-tier tool","Generator UI, copy/reset, responsive design","index"
