"canonicalToolId","language","localized primary keyword","localized slug","localized H1","localized meta title","localized meta description","localized intro summary","localized FAQ topic ideas","same-tool language switch route","search intent note","risk/safety note if needed"
"domain-name-generator","de","domainnamen generator","domainnamen-generator","Domainnamen Generator","Domainnamen Generator kostenlos","Finde Ideen fuer Domainnamen fuer Websites, Produkte und Unternehmen.","Nutze die Vorschlaege als Recherchehilfe und pruefe Verfuegbarkeit sowie Markenrechte.","domain ideen; domain finden; domain verfuegbarkeit","/de/tools/domainnamen-generator/","German local term often keeps Domain.","No availability or legal guarantees."
"product-name-generator","es","nombres para productos","nombres-para-productos","Generador de nombres para productos","Nombres para productos gratis","Crea ideas de nombres para productos, colecciones, funciones o lanzamientos.","Genera opciones comerciales y revisa marca, claridad y encaje con el mercado.","nombre de producto; ideas de producto; naming producto","/es/tools/nombres-para-productos/","Spanish users often search for product-name ideas, not only generator.","Trademark and claim review needed."
"product-name-generator","fr","generateur de nom de produit","generateur-de-nom-de-produit","Generateur de nom de produit","Generateur de nom de produit gratuit","Trouvez des idees de noms pour produits, collections, fonctionnalites ou lancements.","Generez des pistes de naming produit et verifiez clarte, marque et positionnement.","nom de produit; naming produit; idee produit","/fr/tools/generateur-de-nom-de-produit/","Direct product naming intent.","Trademark and claim review needed."
"product-name-generator","de","produktnamen generator","produktnamen-generator","Produktnamen Generator","Produktnamen Generator kostenlos","Erstelle Namensideen fuer Produkte, Kollektionen, Features oder Launches.","Pruefe jeden Produktnamen auf Klarheit, Markenrechte und Marktpassung.","produktname finden; produktnamen ideen; naming produkt","/de/tools/produktnamen-generator/","German compound matches product naming searches.","Trademark and claim review needed."
"project-name-generator","es","nombres para proyectos","nombres-para-proyectos","Generador de nombres para proyectos","Nombres para proyectos gratis","Encuentra nombres para proyectos internos, creativos, escolares o profesionales.","Genera ideas memorables y ajustalas al tono, publico y alcance del proyecto.","nombre de proyecto; ideas para proyectos; proyectos creativos","/es/tools/nombres-para-proyectos/","Local query favors ideas for project names.","Low risk; avoid implying official project status."
"project-name-generator","fr","generateur de nom de projet","generateur-de-nom-de-projet","Generateur de nom de projet","Generateur de nom de projet gratuit","Creez des idees de noms pour projets internes, creatifs, scolaires ou professionnels.","Trouvez un nom de projet clair puis adaptez-le au public et au contexte.","nom de projet; idee projet; projet creatif","/fr/tools/generateur-de-nom-de-projet/","Direct French project naming intent.","Low risk; review clarity and ownership."
"project-name-generator","de","projektnamen generator","projektnamen-generator","Projektnamen Generator","Projektnamen Generator kostenlos","Finde Namen fuer interne, kreative, schulische oder berufliche Projekte.","Erstelle einpraegsame Projektnamen und passe sie an Zielgruppe und Kontext an.","projektname finden; projektnamen ideen; kreative projektnamen","/de/tools/projektnamen-generator/","Natural German compound for project names.","Low risk; review clarity and ownership."
"brand-kit-generator","es","generador de kit de marca","generador-de-kit-de-marca","Generador de kit de marca","Generador de kit de marca gratis","Crea una base de marca con ideas para nombre, tono, colores y mensajes iniciales.","Usa el kit como punto de partida y revisa coherencia, derechos y aplicacion real.","kit de marca; identidad de marca; branding basico","/es/tools/generador-de-kit-de-marca/","Brand kit is a borrowed marketing concept; Spanish phrase is clear.","Trademark and design review required."
"brand-kit-generator","fr","generateur de kit de marque","generateur-de-kit-de-marque","Generateur de kit de marque","Generateur de kit de marque gratuit","Creez une base de marque avec idees de ton, messages, couleurs et elements initiaux.","Utilisez le kit comme brouillon et verifiez coherence, droits et usage reel.","kit de marque; identite de marque; branding","/fr/tools/generateur-de-kit-de-marque/","French marketing searches understand kit de marque.","Trademark and design review required."
"brand-kit-generator","de","markenkit generator","markenkit-generator","Markenkit Generator","Markenkit Generator kostenlos","Erstelle eine erste Markenbasis mit Ton, Botschaften, Farben und Naming-Ideen.","Nutze das Markenkit als Entwurf und pruefe Rechte, Konsistenz und Praxistauglichkeit.","markenkit; markenidentitaet; branding ideen","/de/tools/markenkit-generator/","German marketing query can use Markenkit/Brand Kit; native compound is clearer.","Trademark and design review required."
"slogan-generator","es","generador de slogans","generador-de-slogans","Generador de slogans","Generador de slogans gratis","Crea slogans para marcas, campanas, productos o proyectos con tono claro y editable.","Genera frases breves y revisa originalidad, promesas y encaje antes de publicar.","slogans creativos; slogan para negocio; frases publicitarias","/es/tools/generador-de-slogans/","Spanish uses slogan as common marketing loanword.","Avoid false claims, regulated promises, and trademark conflicts."
"slogan-generator","fr","generateur de slogan","generateur-de-slogan","Generateur de slogan","Generateur de slogan gratuit","Trouvez des slogans courts pour marques, campagnes, produits ou projets.","Creez des accroches puis verifiez originalite, promesses et adequation au public.","slogan publicitaire; slogan marque; accroche commerciale","/fr/tools/generateur-de-slogan/","Direct French marketing intent.","Avoid false claims and trademark conflicts."
"slogan-generator","de","slogan generator","slogan-generator","Slogan Generator","Slogan Generator kostenlos","Erstelle kurze Slogans fuer Marken, Kampagnen, Produkte oder Projekte.","Nutze die Vorschlaege als Entwurf und pruefe Originalitaet, Aussage und rechtliche Nutzung.","slogan ideen; werbeslogan; claim ideen","/de/tools/slogan-generator/","German SERPs commonly use Slogan Generator.","Avoid false claims and trademark conflicts."
"tagline-generator","es","generador de frases para marca","generador-de-frases-para-marca","Generador de frases para marca","Generador de frases para marca gratis","Crea frases cortas de marca para comunicar propuesta, estilo o posicionamiento.","Encuentra una linea de marca clara y evita promesas que no puedas respaldar.","frase de marca; lema de marca; propuesta de valor","/es/tools/generador-de-frases-para-marca/","Spanish tagline intent is better captured by brand phrase/lema than literal tagline.","Avoid deceptive advertising claims."
"tagline-generator","fr","generateur de baseline","generateur-de-baseline","Generateur de baseline","Generateur de baseline gratuit","Creez une baseline courte pour clarifier le positionnement d'une marque ou d'un produit.","Generez des pistes de signature puis controlez sens, originalite et promesses.","baseline marque; signature de marque; accroche courte","/fr/tools/generateur-de-baseline/","French marketing uses baseline/signature; baseline has strong local intent.","Avoid deceptive or unsupported claims."
"tagline-generator","de","claim generator","claim-generator","Claim Generator","Claim Generator kostenlos","Erstelle kurze Claims fuer Marken, Produkte und Kampagnen.","Finde eine klare Markenlinie und pruefe, ob Aussage und Versprechen belegbar sind.","claim ideen; markenclaim; kurzer slogan","/de/tools/claim-generator/","German marketing uses Claim for tagline intent.","Avoid deceptive or unsupported claims."
"blog-name-generator","es","nombres para blog","nombres-para-blog","Generador de nombres para blog","Nombres para blog gratis","Encuentra ideas de nombres para blogs personales, nichos, newsletters o proyectos de contenido.","Genera opciones memorables y revisa dominio, tono y tema antes de elegir.","nombre de blog; ideas para blog; blog personal","/es/tools/nombres-para-blog/","Spanish list/query intent is stronger than literal generator.","Check trademark and domain availability."
"blog-name-generator","fr","generateur de nom de blog","generateur-de-nom-de-blog","Generateur de nom de blog","Generateur de nom de blog gratuit","Trouvez des idees de noms pour blogs, newsletters et projets editoriaux.","Creez des pistes de nom et verifiez domaine, ton et coherence avec la niche.","nom de blog; idee blog; blog personnel","/fr/tools/generateur-de-nom-de-blog/","Direct French blog naming intent.","Check trademark and domain availability."
"blog-name-generator","de","blognamen generator","blognamen-generator","Blognamen Generator","Blognamen Generator kostenlos","Finde Ideen fuer Blognamen, Newsletter und Content-Projekte.","Erstelle passende Blognamen und pruefe Domain, Thema und Markenrisiko.","blogname finden; blognamen ideen; blog starten","/de/tools/blognamen-generator/","Natural German compound.","Check trademark and domain availability."
"podcast-name-generator","es","nombres para podcast","nombres-para-podcast","Generador de nombres para podcast","Nombres para podcast gratis","Crea ideas de nombres para podcasts, episodios seriados o canales de audio.","Genera opciones claras y revisa disponibilidad en directorios, dominio y marca.","nombre de podcast; ideas para podcast; podcast creativo","/es/tools/nombres-para-podcast/","Spanish query often searches ideas/names for podcast.","Avoid platform availability guarantees."
"podcast-name-generator","fr","generateur de nom de podcast","generateur-de-nom-de-podcast","Generateur de nom de podcast","Generateur de nom de podcast gratuit","Trouvez des idees de noms pour podcasts, emissions audio et series d'episodes.","Generez des pistes puis verifiez annuaires, domaine et marque avant lancement.","nom de podcast; idee podcast; titre podcast","/fr/tools/generateur-de-nom-de-podcast/","Direct French podcast naming intent.","Avoid platform availability guarantees."
"podcast-name-generator","de","podcastnamen generator","podcastnamen-generator","Podcastnamen Generator","Podcastnamen Generator kostenlos","Erstelle Namensideen fuer Podcasts, Audioformate und Episodenserien.","Pruefe die Vorschlaege in Verzeichnissen, Domains und Markenrecherche.","podcast name finden; podcast ideen; podcast titel","/de/tools/podcastnamen-generator/","Natural German compound.","Avoid platform availability guarantees."
"youtube-tag-generator","es","generador de etiquetas para videos","generador-de-etiquetas-para-videos","Generador de etiquetas para videos","Generador de etiquetas para videos gratis","Crea ideas de etiquetas para organizar y describir videos sin prometer posicionamiento.","Genera tags relacionados con el tema del video y revisa relevancia antes de publicar.","etiquetas para videos; tags de video; ideas de tags","/es/tools/generador-de-etiquetas-para-videos/","Avoids brand dependency while preserving video-tag intent.","Do not promise rankings or use platform-brand claims."
"youtube-tag-generator","fr","generateur de tags video","generateur-de-tags-video","Generateur de tags video","Generateur de tags video gratuit","Creez des idees de tags pour decrire et organiser des videos en ligne.","Choisissez des tags pertinents pour le sujet sans garantie de classement ou de vues.","tags video; mots cles video; idees de tags","/fr/tools/generateur-de-tags-video/","French users use tags video; brand-neutral and same intent.","Do not promise rankings or use platform-brand claims."
"youtube-tag-generator","de","video tags generator","video-tags-generator","Video Tags Generator","Video Tags Generator kostenlos","Erstelle Tag-Ideen fuer Online-Videos, Beschreibungen und Themencluster.","Waehle relevante Tags passend zum Inhalt ohne Ranking- oder Reichweitenversprechen.","video tags; tags fuer videos; keyword ideen video","/de/tools/video-tags-generator/","German SERP intent often mixes English for video tags.","No ranking guarantees or platform-brand claims."
"hashtag-generator","es","generador de hashtags","generador-de-hashtags","Generador de hashtags","Generador de hashtags gratis","Crea hashtags relacionados con un tema, campana, publicacion o idea de contenido.","Genera etiquetas sociales relevantes y revisa tono, significado y contexto actual.","hashtags para redes; hashtags populares; ideas de hashtags","/es/tools/generador-de-hashtags/","Direct social hashtag intent.","Avoid promising virality or trending accuracy."
"hashtag-generator","fr","generateur de hashtags","generateur-de-hashtags","Generateur de hashtags","Generateur de hashtags gratuit","Creez des hashtags pertinents pour publications, campagnes et idees de contenu.","Generez des suggestions puis verifiez contexte, ton et actualite avant publication.","hashtags reseaux sociaux; hashtags populaires; idees hashtags","/fr/tools/generateur-de-hashtags/","Direct French social intent.","Avoid promising virality or trend accuracy."
"hashtag-generator","de","hashtag generator","hashtag-generator","Hashtag Generator","Hashtag Generator kostenlos","Erstelle Hashtag-Ideen fuer Beitraege, Kampagnen und Content-Themen.","Pruefe Bedeutung, Ton und Aktualitaet, bevor du Hashtags veroeffentlichst.","hashtags finden; social media hashtags; hashtag ideen","/de/tools/hashtag-generator/","German commonly uses English loanword.","Avoid promising virality or trend accuracy."
"keyword-generator","es","generador de palabras clave","generador-de-palabras-clave","Generador de palabras clave","Generador de palabras clave gratis","Encuentra ideas de palabras clave para contenido, SEO, anuncios o investigacion inicial.","Genera temas y terminos relacionados, luego valida volumen, competencia e intencion.","palabras clave SEO; ideas de keywords; investigacion keyword","/es/tools/generador-de-palabras-clave/","Direct SEO keyword ideation intent.","No traffic, ranking, or ad-performance guarantees."
"keyword-generator","fr","generateur de mots cles","generateur-de-mots-cles","Generateur de mots cles","Generateur de mots cles gratuit","Trouvez des idees de mots cles pour contenu, SEO, annonces ou recherche initiale.","Generez des pistes puis validez volume, concurrence et intention de recherche.","mots cles SEO; idees keywords; recherche de mots cles","/fr/tools/generateur-de-mots-cles/","Direct French SEO intent.","No ranking or ad-performance guarantees."
"keyword-generator","de","keyword generator","keyword-generator","Keyword Generator","Keyword Generator kostenlos","Finde Keyword-Ideen fuer Content, SEO, Anzeigen und erste Themenrecherche.","Nutze die Vorschlaege als Startpunkt und pruefe Suchvolumen, Wettbewerb und Intent.","seo keywords; keyword ideen; keyword recherche","/de/tools/keyword-generator/","German SEO searches commonly use Keyword Generator.","No ranking or ad-performance guarantees."
"meta-tag-generator","es","generador de meta tags","generador-de-meta-tags","Generador de meta tags","Generador de meta tags gratis","Crea borradores de meta tags para paginas web, SEO tecnico y vistas previas sociales.","Genera etiquetas base y revisa longitud, relevancia y compatibilidad antes de implementar.","meta tags SEO; etiquetas meta; meta title y description","/es/tools/generador-de-meta-tags/","Spanish SEO users often use meta tags loan term.","Technical output should be reviewed before production."
"meta-tag-generator","fr","generateur de balises meta","generateur-de-balises-meta","Generateur de balises meta","Generateur de balises meta gratuit","Creez des brouillons de balises meta pour pages web, SEO et apercus sociaux.","Generez une base puis controlez longueur, pertinence et integration technique.","balises meta SEO; meta title; meta description","/fr/tools/generateur-de-balises-meta/","French native balises meta is high-intent.","Technical output should be reviewed before production."
"meta-tag-generator","de","meta tag generator","meta-tag-generator","Meta Tag Generator","Meta Tag Generator kostenlos","Erstelle Meta-Tag-Entwuerfe fuer Webseiten, SEO und Social Previews.","Pruefe Laenge, Relevanz und technische Einbindung, bevor du Tags einsetzt.","meta tags seo; meta title; meta description","/de/tools/meta-tag-generator/","German SEO searches commonly keep Meta Tag.","Technical output should be reviewed before production."
"meta-description-generator","es","generador de meta descripciones","generador-de-meta-descripciones","Generador de meta descripciones","Generador de meta descripciones gratis","Crea meta descripciones para paginas, articulos y fichas con enfoque claro de clic.","Genera borradores breves y ajusta longitud, precision y promesa antes de publicar.","meta descripcion SEO; description para Google; snippet SEO","/es/tools/generador-de-meta-descripciones/","Direct SEO snippet-writing intent.","No CTR or ranking guarantees."
"meta-description-generator","fr","generateur de meta description","generateur-de-meta-description","Generateur de meta description","Generateur de meta description gratuit","Redigez des brouillons de meta descriptions pour pages, articles et fiches produit.","Generez un texte court puis ajustez longueur, precision et promesse de clic.","meta description SEO; snippet Google; description page","/fr/tools/generateur-de-meta-description/","French SEO commonly uses singular meta description.","No CTR or ranking guarantees."
"meta-description-generator","de","meta beschreibung generator","meta-beschreibung-generator","Meta Beschreibung Generator","Meta Beschreibung Generator kostenlos","Erstelle Meta-Beschreibungen fuer Seiten, Artikel und Produkttexte.","Optimiere Laenge, Relevanz und Klickversprechen ohne Ranking-Garantie.","meta description; seo beschreibung; snippet text","/de/tools/meta-beschreibung-generator/","German hybrid/native term is clear.","No CTR or ranking guarantees."
"seo-title-generator","es","generador de titulos SEO","generador-de-titulos-seo","Generador de titulos SEO","Generador de titulos SEO gratis","Crea ideas de titulos SEO para paginas, articulos, guias y fichas de producto.","Genera opciones de titulo y revisa longitud, intencion y exactitud antes de usarlas.","titulo SEO; title tag; titulos para Google","/es/tools/generador-de-titulos-seo/","Direct SEO title intent.","No ranking guarantees; avoid misleading clickbait."
"seo-title-generator","fr","generateur de titre SEO","generateur-de-titre-seo","Generateur de titre SEO","Generateur de titre SEO gratuit","Creez des idees de titres SEO pour pages, articles, guides et fiches produit.","Generez plusieurs titres puis verifiez longueur, intention et exactitude.","titre SEO; balise title; titre Google","/fr/tools/generateur-de-titre-seo/","Direct French SEO title intent.","No ranking guarantees; avoid misleading clickbait."
"seo-title-generator","de","seo titel generator","seo-titel-generator","SEO Titel Generator","SEO Titel Generator kostenlos","Erstelle SEO-Titel fuer Seiten, Artikel, Ratgeber und Produkttexte.","Pruefe Laenge, Suchintention und Genauigkeit, bevor du den Title verwendest.","seo title; title tag; google titel","/de/tools/seo-titel-generator/","Natural German SEO hybrid.","No ranking guarantees; avoid misleading clickbait."
