slug,classification,reason,recommended_next_action,touch_priority
contract-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, legal correctness, jurisdiction fit, professional-advice implications, and user reliance.","Needs legal-template premium review; keep noindex until expert-grade safeguards are in place.",policy_review
dmca-policy-generator,needs_deeper_policy_review,"Copyright/DMCA workflow tool; risks include valid takedown, safe harbor, counter-notice, filing, platform process, and jurisdiction-specific compliance implications.","Keep noindex; requires deeper copyright/legal process review.",policy_review
password-generator,already_hardened_but_hold,"Security-sensitive credential generator; even if browser-local, it needs sustained no-guarantee/security framing and remains high-stakes.","Hold noindex; avoid audited security or production suitability claims.",hold
instagram-hashtag-generator,needs_deeper_policy_review,"Platform tag tool; needs spam, reach/ranking, banned-tag, policy, platform-affiliation, and deceptive engagement review before indexing.","Run dedicated social tag policy review; keep noindex for now.",policy_review
tiktok-hashtag-generator,needs_deeper_policy_review,"Platform tag tool; needs spam, trend abuse, reach/ranking, platform-rule, monetization-claim, and deceptive engagement review before indexing.","Run dedicated social tag policy review; keep noindex for now.",policy_review
shakespeare-insult-generator,safe_premium_upgrade_candidate,"Humor tool can likely be safely upgraded with consent, fictional/context controls, non-targeting, protected-class, and anti-harassment guardrails.","Candidate for premium humor-safety upgrade; noindex until reviewed.",upgrade_candidate
facebook-hashtag-generator,needs_deeper_policy_review,"Platform tag tool; needs spam, reach/ranking, platform-rule, affiliation, and deceptive engagement review before indexing.","Run dedicated social tag policy review; keep noindex for now.",policy_review
comeback-generator,safe_premium_upgrade_candidate,"Humor/reply tool can likely be upgraded with consensual, de-escalating, non-harassing response controls and safer tone boundaries.","Candidate for premium humor-safety upgrade; noindex until reviewed.",upgrade_candidate
privacy-policy-generator,needs_deeper_policy_review,"High privacy-law template; risks include GDPR/CCPA/CPRA/PIPEDA compliance, data rights, vendor disclosures, jurisdiction fit, and user reliance.","Keep noindex; needs deeper privacy/legal review before any indexing decision.",policy_review
terms-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, consumer rights, subscription rules, jurisdiction fit, legal correctness, and user reliance.","Keep noindex; needs deeper legal-template review before any indexing decision.",policy_review
roast-generator,safe_premium_upgrade_candidate,"Humor tool can likely be upgraded with consent, softness controls, anti-harassment guardrails, protected-class exclusions, and safer fictional/social contexts.","Candidate for premium humor-safety upgrade; noindex until reviewed.",upgrade_candidate
tiktok-username-generator,needs_merge_or_canonical,"Platform username tool likely overlaps with username/tiktok name generators and carries availability, impersonation, brand, and platform-rule risks.","Evaluate canonical merge into broader username or TikTok name flow before any upgrade/indexing work.",merge_review
nda-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, confidentiality obligations, remedies, jurisdiction fit, professional-advice implications, and user reliance.","Keep noindex; needs legal-template premium review.",policy_review
service-agreement-generator,needs_deeper_policy_review,"High legal-template tool; risks include enforceability, scope obligations, payment terms, IP, termination, jurisdiction fit, and user reliance.","Keep noindex; needs legal-template premium review.",policy_review
token-generator,already_hardened_but_hold,"Security-sensitive token-like output; hardened as browser-local/demo-safe but remains credential-adjacent and high-stakes.","Hold noindex; avoid production security guarantees.",hold
