row_type,batch,slug,classification,recommended_action,reason,next_step,redirect_or_canonical_target
batch,batch_1,api-key-generator,final_keep_noindex_security_sensitive,"Keep noindex permanently.","API-key-like output is credential-adjacent and can be confused with production secrets.","Retain noindex and keep placeholder/demo framing.",
batch,batch_1,password-generator,final_keep_noindex_security_sensitive,"Keep noindex permanently unless a full security review approves an indexed security posture.","Password generation is security-sensitive and high-stakes.","Retain noindex; do not index without entropy, browser-local, UX, and security-claim audit.",
batch,batch_2,license-key-generator,final_keep_noindex_security_sensitive,"Keep noindex permanently.","License-key-like output can be confused with entitlement, activation, piracy, or access material.","Retain noindex and keep demo/sample framing.",
batch,batch_2,recovery-code-generator,final_keep_noindex_security_sensitive,"Keep noindex permanently.","Recovery-code-like output is account-security sensitive and can be mistaken for real backup credentials.","Retain noindex and keep demo/sample framing.",
batch,batch_2,jwt-generator,final_keep_noindex_security_sensitive,"Keep noindex permanently.","JWT-like output is auth/security sensitive and can be confused with production token material.","Retain noindex and avoid production-auth claims.",
batch,batch_2,token-generator,final_keep_noindex_security_sensitive,"Keep noindex permanently.","Token-like output is credential-adjacent and high-stakes even with demo-safe framing.","Retain noindex and keep placeholder/demo framing.",
batch,batch_2,dmca-policy-generator,final_keep_noindex_legal_policy_sensitive,"Keep noindex permanently unless legal counsel approves an indexed policy workflow.","Copyright/DMCA workflow content is legal-process sensitive.","Retain noindex and keep legal-advice boundaries prominent.",
batch,batch_2,privacy-policy-generator,final_keep_noindex_legal_policy_sensitive,"Keep noindex permanently unless legal/privacy counsel approves an indexed compliance workflow.","Privacy notice generation is privacy-law and compliance sensitive.","Retain noindex and keep jurisdiction/compliance limits prominent.",
batch,batch_2,terms-generator,final_keep_noindex_legal_policy_sensitive,"Keep noindex permanently unless legal counsel approves an indexed compliance workflow.","Terms generation is enforceability, consumer-rights, subscription, jurisdiction, and legal-reliance sensitive.","Retain noindex and keep legal-advice boundaries prominent.",
batch,batch_2,ransom-note-text-generator,final_keep_noindex_harassment_or_threat,"Keep noindex permanently.","Threat-adjacent typography can support intimidation, coercion, extortion aesthetics, or harassment.","Retain noindex; consider softer positioning or removal if brand risk is unacceptable.",
batch,batch_2,shakespeare-insult-generator,final_keep_noindex_harassment_or_threat,"Keep noindex permanently.","Insult/banter tooling remains harassment, bullying, hate, threat, doxxing, and humiliation sensitive.","Retain noindex and keep safety filters strong.",
batch,batch_2,comeback-generator,final_keep_noindex_harassment_or_threat,"Keep noindex permanently.","Comeback tooling remains escalation, harassment, bullying, and targeted-abuse sensitive.","Retain noindex and keep de-escalation framing.",
batch,batch_3,roast-generator,final_keep_noindex_harassment_or_threat,"Keep noindex permanently.","Roast tooling remains bullying, humiliation, harassment, and targeted-abuse sensitive.","Retain noindex and keep safety filters strong.",
batch,batch_3,x-post-generator,final_keep_noindex_social_spam_risk,"Keep noindex permanently unless transformed into a compliance-first editorial drafting tool with separate audit.","Platform post generation remains spam, misinformation, harassment, affiliate/ad, and deceptive engagement sensitive.","Retain noindex and avoid reach/engagement claims.",
batch,batch_3,instagram-hashtag-generator,final_keep_noindex_social_spam_risk,"Keep noindex permanently or merge into broader hashtag workflow if canonical cleanup is desired.","Platform hashtag generation remains spam, reach/ranking, banned-tag, platform-affiliation, and deceptive engagement sensitive.","Retain noindex; consider canonical relationship to hashtag-generator.",/tools/hashtag-generator/
batch,batch_3,tiktok-hashtag-generator,final_keep_noindex_social_spam_risk,"Keep noindex permanently or merge into broader hashtag workflow if canonical cleanup is desired.","Platform hashtag generation remains trend-abuse, spam, reach/ranking, monetization-claim, and deceptive engagement sensitive.","Retain noindex; consider canonical relationship to hashtag-generator.",/tools/hashtag-generator/
batch,batch_3,facebook-hashtag-generator,final_keep_noindex_social_spam_risk,"Keep noindex permanently or merge into broader hashtag workflow if canonical cleanup is desired.","Platform hashtag generation remains platform/spam/reach-abuse sensitive and lacks final approval-to-index artifact.","Retain noindex; consider canonical relationship to hashtag-generator.",/tools/hashtag-generator/
batch,batch_3,ao3-tag-generator,merge_or_redirect_candidate,"Prefer merge/redirect/canonical cleanup over indexing.","AO3/platform/fandom tag tooling is brand/platform/fandom adjacent and can imply unofficial affiliation or metadata abuse.","Evaluate redirect or canonical consolidation into a generic tag/fan-writing tool; do not index standalone.",
batch,batch_3,sith-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic fantasy/villain naming if cleanup is desired.","Protected franchise/IP name tool with unofficial affiliation and brand-signal risk.","Retain noindex; consider redirect/canonical to generic villain/fantasy naming.",/tools/villain-name-generator/
batch,batch_3,star-wars-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic sci-fi/fantasy naming if cleanup is desired.","Protected franchise/IP name tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic sci-fi or fantasy naming.",/tools/scifi-name-generator/
batch,batch_3,star-wars-text-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic sci-fi text styling if cleanup is desired.","Protected franchise/IP text-style tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic text styling.",/tools/fancy-text-generator/
batch,batch_3,dark-souls-text-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic dark fantasy text styling if cleanup is desired.","Protected game/IP text-style tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic text styling.",/tools/fancy-text-generator/
batch,batch_4,spongebob-text-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic playful text styling if cleanup is desired.","Protected character/franchise/IP text-style tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic text styling.",/tools/fancy-text-generator/
batch,batch_4,undertale-text-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic retro/game text styling if cleanup is desired.","Protected game/IP text-style tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic text styling.",/tools/fancy-text-generator/
batch,batch_4,pokemon-text-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic creature/fantasy text styling if cleanup is desired.","Protected franchise/IP text-style tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic text styling.",/tools/fancy-text-generator/
batch,batch_4,minecraft-text-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic game/fantasy text styling if cleanup is desired.","Protected game/IP text-style tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic text styling.",/tools/fancy-text-generator/
batch,batch_4,roblox-username-generator,merge_or_redirect_candidate,"Prefer merge/redirect/canonical cleanup over indexing.","Brand/platform/IP username tool has availability, impersonation, account-abuse, and platform-rule risks while overlapping broader username/gaming tools.","Evaluate redirect or canonical consolidation; do not index standalone.",/tools/username-generator/
batch,batch_4,roblox-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic gaming names if cleanup is desired.","Brand/platform/IP name tool with account, availability, impersonation, and platform-rule risks.","Retain noindex; consider redirect/canonical to generic gaming naming.",/tools/gaming-name-generator/
batch,batch_4,fortnite-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic gaming names if cleanup is desired.","Brand/platform/IP name tool with account, availability, and unofficial affiliation risks.","Retain noindex; consider redirect/canonical to generic gaming naming.",/tools/gaming-name-generator/
batch,batch_4,minecraft-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic fantasy/gaming names if cleanup is desired.","Protected game/platform name tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic gaming naming.",/tools/gaming-name-generator/
batch,batch_4,valorant-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic gaming names if cleanup is desired.","Protected game/platform name tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic gaming naming.",/tools/gaming-name-generator/
batch,batch_4,league-of-legends-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic fantasy/gaming names if cleanup is desired.","Protected game/platform name tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic gaming or fantasy naming.",/tools/gaming-name-generator/
batch,batch_4,harry-potter-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic wizard/fantasy names if cleanup is desired.","Protected franchise/IP name tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic wizard/fantasy naming.",/tools/wizard-name-generator/
batch,batch_4,pokemon-name-generator,final_keep_noindex_brand_ip_fandom,"Keep noindex permanently or redirect into generic creature/fantasy names if cleanup is desired.","Protected franchise/IP name tool with unofficial affiliation risk.","Retain noindex; consider redirect/canonical to generic fantasy naming.",/tools/fantasy-name-generator/
section,never_index,,tools_that_should_never_be_indexed,"39 tools should stay noindex under current posture: all security-sensitive, fake/document, legal-policy, harassment/threat, social-spam, and brand/IP/fandom tools except the three legal-template audit candidates.","Do not remove from noindexToolSlugs without a new artifact, explicit approval, and verification.",
section,redirect_merge,,tools_that_may_be_redirected_or_merged,"ao3-tag-generator, instagram-hashtag-generator, tiktok-hashtag-generator, facebook-hashtag-generator, sith-name-generator, star-wars-name-generator, star-wars-text-generator, dark-souls-text-generator, spongebob-text-generator, undertale-text-generator, pokemon-text-generator, roblox-username-generator, roblox-name-generator, fortnite-name-generator, minecraft-name-generator, valorant-name-generator, league-of-legends-name-generator, harry-potter-name-generator, pokemon-name-generator","Prefer canonical cleanup or redirects for overlapping brand/platform/fandom pages rather than indexing standalone pages.",
section,batch_1,,batch_1_safest_10_tools,"contract-generator, nda-generator, service-agreement-generator, invoice-generator, receipt-generator, random-address-generator, fake-name-generator, pin-generator, api-key-generator, password-generator","Safest next batch because it separates three audit candidates from obvious keep-noindex document/security/fake-identity tools.",
section,batch_2,,batch_2_next_10_tools,"license-key-generator, recovery-code-generator, jwt-generator, token-generator, dmca-policy-generator, privacy-policy-generator, terms-generator, ransom-note-text-generator, shakespeare-insult-generator, comeback-generator","Next batch resolves remaining security/legal/harassment high-risk tools with keep-noindex outcomes.",
section,batch_3,,batch_3_next_10_tools,"roast-generator, x-post-generator, instagram-hashtag-generator, tiktok-hashtag-generator, facebook-hashtag-generator, ao3-tag-generator, sith-name-generator, star-wars-name-generator, star-wars-text-generator, dark-souls-text-generator","Next batch handles social spam and brand/IP overlap; likely no indexing, some merge/canonical review.",
section,batch_4,,batch_4_remaining_12_tools,"spongebob-text-generator, undertale-text-generator, pokemon-text-generator, roblox-username-generator, roblox-name-generator, fortnite-name-generator, minecraft-name-generator, valorant-name-generator, league-of-legends-name-generator, harry-potter-name-generator, pokemon-name-generator, minecraft-text-generator","Remaining brand/IP/fandom/platform tools should stay noindex or be redirected/merged into generic tools.",
section,exact_list,,all_42_remaining_noindex_tools,"ao3-tag-generator, api-key-generator, comeback-generator, contract-generator, dark-souls-text-generator, dmca-policy-generator, facebook-hashtag-generator, fake-name-generator, fortnite-name-generator, harry-potter-name-generator, instagram-hashtag-generator, invoice-generator, jwt-generator, league-of-legends-name-generator, license-key-generator, minecraft-name-generator, minecraft-text-generator, nda-generator, password-generator, pin-generator, pokemon-name-generator, pokemon-text-generator, privacy-policy-generator, random-address-generator, ransom-note-text-generator, receipt-generator, recovery-code-generator, roast-generator, roblox-name-generator, roblox-username-generator, service-agreement-generator, shakespeare-insult-generator, sith-name-generator, spongebob-text-generator, star-wars-name-generator, star-wars-text-generator, terms-generator, tiktok-hashtag-generator, token-generator, undertale-text-generator, valorant-name-generator, x-post-generator","Exact rendered noindex set from dist/tools.",
