row_type,batch,slug,final_verdict,robots,googlebot,merge_redirect_recommended,merge_redirect_target,final_reason
tool,batch_2,comeback-generator,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,,"Comeback tooling remains escalation, harassment, bullying, and targeted-abuse sensitive despite safer framing."
tool,batch_3,roast-generator,final_keep_noindex_harassment_or_threat,"noindex, follow","noindex, follow",false,,"Roast tooling remains bullying, humiliation, harassment, and targeted-abuse sensitive despite safer framing."
tool,batch_3,x-post-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",false,,"Platform post generation remains spam, misinformation, harassment, affiliate/ad, deceptive engagement, and reach/performance-risk sensitive."
tool,batch_3,instagram-hashtag-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains spam, reach/ranking, banned-tag, platform-affiliation, and deceptive engagement sensitive; overlaps broader hashtag generator."
tool,batch_3,tiktok-hashtag-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains trend-abuse, spam, reach/ranking, monetization-claim, and deceptive engagement sensitive; overlaps broader hashtag generator."
tool,batch_3,facebook-hashtag-generator,final_keep_noindex_social_spam_risk,"noindex, follow","noindex, follow",true,"/tools/hashtag-generator/","Platform hashtag generation remains platform/spam/reach-abuse sensitive and lacks approval-to-index evidence; overlaps broader hashtag generator."
tool,batch_3,ao3-tag-generator,merge_or_redirect_candidate,"noindex, follow","noindex, follow",true,"TBD generic tag or fan-writing target","AO3/platform/fandom tag tooling is brand/platform/fandom adjacent and can imply unofficial affiliation, metadata abuse, or archive discoverability signals."
tool,batch_3,sith-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/villain-name-generator/","Protected franchise/IP name tool with unofficial affiliation and brand-signal risk."
tool,batch_3,star-wars-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/scifi-name-generator/","Protected franchise/IP name tool with unofficial affiliation risk."
tool,batch_3,star-wars-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected franchise/IP text-style tool with unofficial affiliation risk."
tool,batch_3,dark-souls-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected game/IP text-style tool with unofficial affiliation risk."
tool,batch_4,spongebob-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected character/franchise/IP text-style tool with unofficial affiliation and brand-signal risk."
tool,batch_4,undertale-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected game/IP text-style tool with unofficial affiliation risk."
tool,batch_4,pokemon-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected franchise/IP text-style tool with unofficial affiliation risk."
tool,batch_4,minecraft-text-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fancy-text-generator/","Protected game/IP text-style tool with unofficial affiliation risk."
tool,batch_4,roblox-username-generator,merge_or_redirect_candidate,"noindex, follow","noindex, follow",true,"/tools/username-generator/","Brand/platform/IP username tool has availability, impersonation, account-abuse, platform-rule, and duplicate-overlap risk with the broader username generator."
tool,batch_4,roblox-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Brand/platform/IP name tool with account, availability, impersonation, and platform-rule risks."
tool,batch_4,fortnite-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Brand/platform/IP name tool with account, availability, and unofficial affiliation risks."
tool,batch_4,minecraft-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Protected game/platform name tool with unofficial affiliation risk."
tool,batch_4,valorant-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Protected game/platform name tool with unofficial affiliation risk."
tool,batch_4,league-of-legends-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/gaming-name-generator/","Protected game/platform name tool with unofficial affiliation risk."
tool,batch_4,harry-potter-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/wizard-name-generator/","Protected franchise/IP name tool with unofficial affiliation risk."
tool,batch_4,pokemon-name-generator,final_keep_noindex_brand_ip_fandom,"noindex, follow","noindex, follow",true,"/tools/fantasy-name-generator/","Protected franchise/IP name tool with unofficial affiliation risk."
