slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
text-case-converter,Text Case Converter,Utility Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
team-name-generator,Team Name Generator,Name Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
robots-txt-generator,Robots.txt Generator,SEO & Marketing Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
word-counter,Word Counter,Utility Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
uuid-generator,UUID Generator,Developer & Web Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
random-number-generator,Random Number Generator,Random Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
small-text-generator,Small Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
italic-text-generator,Italic Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
strikethrough-text-generator,Strikethrough Text Generator,Font & Text Style Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
underline-text-generator,Underline Text Generator,Font & Text Style Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
vaporwave-text-generator,Vaporwave Text Generator,Font & Text Style Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
reverse-text-generator,Reverse Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
unicode-text-generator,Unicode Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
tiktok-hashtag-generator,TikTok Hashtag Generator,Social Media & Tag Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
twitter-bio-generator,Twitter/X Bio Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
tiktok-bio-generator,TikTok Bio Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
linkedin-bio-generator,LinkedIn Bio Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
domain-name-generator,Domain Name Generator,Business & Brand Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
product-name-generator,Product Name Generator,Business & Brand Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
baby-name-generator,Baby Name Generator,Name Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
middle-name-generator,Middle Name Generator,Name Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
last-name-generator,Last Name Generator,Name Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
discord-name-generator,Discord Name Generator,Name Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
clan-name-generator,Clan Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
band-name-generator,Band Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
superhero-name-generator,Superhero Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
rap-name-generator,Rap Name Generator,Creative & Story Generators,medium,yes,okay,good,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
song-name-generator,Song Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
paragraph-generator,Paragraph Generator,AI Text & Writing Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
sentence-generator,Sentence Generator,AI Text & Writing Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
blog-name-generator,Blog Name Generator,AI Text & Writing Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
pirate-name-generator,Pirate Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
medieval-name-generator,Medieval Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
hreflang-tag-generator,Hreflang Tag Generator,SEO & Marketing Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
schema-tag-generator,Schema Markup Generator,SEO & Marketing Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
slug-generator,URL Slug Generator,Developer & Web Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
hash-generator,Hash Generator,Developer & Web Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
json-formatter,JSON Formatter,Developer & Web Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
coin-flip,Coin Flip Generator,Random Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
dice-roller,Dice Roller,Random Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
color-palette-generator,Color Palette Generator,Developer & Web Generators,low,yes,okay,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
town-name-generator,Town Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
kingdom-name-generator,Kingdom Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
dragon-name-generator,Dragon Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
wolf-name-generator,Wolf Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
demon-name-generator,Demon Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
elf-name-generator,Elf Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
podcast-name-generator,Podcast Name Generator,Creative & Story Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
youtube-name-generator,YouTube Channel Name Generator,Creative & Story Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
instagram-caption-generator,Instagram Caption Generator,Bio & Caption Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
nickname-generator,Nickname Generator,Name Generators,low,yes,okay,good,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
hashtag-generator,Hashtag Generator,Social Media & Tag Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
etsy-tag-generator,Etsy Tag Generator,SEO & Marketing Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
writing-prompt-generator,Writing Prompt Generator,AI Text & Writing Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
text-to-binary-generator,Text to Binary Converter,Developer & Web Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
morse-code-generator,Morse Code Generator,Developer & Web Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
star-wars-name-generator,Star Wars Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
anime-name-generator,Anime Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
fake-name-generator,Fake Name Generator,Utility Generators,noindex,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
qr-code-text-generator,QR Code Text Generator,Utility Generators,noindex,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
dnd-name-generator,D&D Name Generator,Gaming & Fantasy Generators,low,yes,okay,good,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
orc-name-generator,Orc Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
witch-name-generator,Witch Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
vampire-name-generator,Vampire Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
fairy-name-generator,Fairy Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
goblin-name-generator,Goblin Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
character-name-generator,Character Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
story-name-generator,Story Title Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
random-phrase-generator,Random Phrase Generator,Random Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
special-character-generator,Special Character Generator,Font & Text Style Generators,low,yes,okay,good,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
ascii-text-generator,ASCII Text Art Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
creepy-text-generator,Creepy Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
gaming-name-generator,Gaming Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
guild-name-generator,Guild Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
planet-name-generator,Planet Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
island-name-generator,Island Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
shop-name-generator,Shop Name Generator,Business & Brand Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
cafe-name-generator,Cafe Name Generator,Business & Brand Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
project-name-generator,Project Name Generator,Business & Brand Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
stage-name-generator,Stage Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
wrestling-name-generator,Wrestling Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
cool-text-generator,Cool Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
old-english-text-generator,Old English Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
uwu-text-generator,UwU Text Generator,Font & Text Style Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
leet-text-generator,Leet Speak Generator,Font & Text Style Generators,low,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
random-text-generator,Random Text Generator,Random Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
discord-timestamp-generator,Discord Timestamp Generator,Developer & Web Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
canonical-tag-generator,Canonical Tag Generator,SEO & Marketing Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
utm-generator,UTM Link Generator,SEO & Marketing Generators,low,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
gibberish-generator,Gibberish Generator,Random Generators,low,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
shakespeare-insult-generator,Shakespeare Insult Generator,Random Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
roblox-name-generator,Roblox Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
tiktok-name-generator,TikTok Name Generator,Creative & Story Generators,low,yes,okay,good,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
instagram-name-generator,Instagram Name Generator,Creative & Story Generators,low,yes,okay,good,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
couple-name-generator,Couple Name Generator,Name Generators,low,yes,okay,good,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
dwarf-name-generator,Dwarf Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
tiefling-name-generator,Tiefling Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
harry-potter-name-generator,Harry Potter Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
pokemon-name-generator,Pokemon Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
school-name-generator,School Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
street-name-generator,Street Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
book-club-name-generator,Book Club Name Generator,Creative & Story Generators,low,yes,basic,basic,medium,Safe clear-intent page with user/search value but current output is still basic or only lightly structured.,Candidate for structured premium output with option-aware sections and per-result copy actions.,needs_premium_upgrade
seo-title-generator,SEO Title Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
facebook-hashtag-generator,Facebook Hashtag Generator,Social Media & Tag Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
pinterest-tag-generator,Pinterest Tag Generator,Social Media & Tag Generators,noindex,yes,strong,good,none,Completed in earlier premium passes and still has slug-specific renderer logic in the current source.,No upgrade now; keep in regression QA.,premium_done
soundcloud-tag-generator,SoundCloud Tag Generator,Social Media & Tag Generators,low,yes,premium,premium,none,Completed in Pass 14 or Pass 15 with structured intent-specific premium output and copyable sections.,No upgrade now; keep in regression QA.,premium_done
comeback-generator,Comeback Generator,Random Generators,noindex,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
error-message-generator,Error Message Generator,Developer & Web Generators,noindex,yes,basic,basic,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
cipher-generator,Cipher Generator,Developer & Web Generators,noindex,yes,okay,good,low,"Lower index priority, novelty/random/text-effect intent, duplicate-adjacent coverage, or noindex signal makes this a later investment.",Defer; consider merge/noindex review before premium work.,noindex_or_low_priority
repeat-text-generator,Repeat Text Generator,Utility Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
fortnite-name-generator,Fortnite Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
minecraft-name-generator,Minecraft Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
valorant-name-generator,Valorant Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
league-of-legends-name-generator,League of Legends Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, platform/franchise, trademark, citation, or technical-risk intent needs separate safety review before premium expansion.",Hold for safety/franchise/compliance review; do not select for Pass 16.,hold_sensitive
magic-name-generator,Magic Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
angel-name-generator,Angel Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
tavern-name-generator,Tavern Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
dungeon-name-generator,Dungeon Name Generator,Gaming & Fantasy Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
cat-name-generator,Cat Name Generator,Name Generators,low,yes,basic,basic,none,Current slug-specific output is adequate for the tool intent; not a top premium gap.,Defer; monitor after high-value backlog.,good_enough
