slug,tool_name,category,current_status,should_upgrade_to_premium,safe_to_upgrade,premium_upgrade_type,required_safe_framing,recommended_index_status,pass_number,reason
underline-text-generator,Underline Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
vaporwave-text-generator,Vaporwave Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
reverse-text-generator,Reverse Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
unicode-text-generator,Unicode Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
tiktok-hashtag-generator,TikTok Hashtag Generator,Social Media & Tag Generators,hold_sensitive,yes,yes,"platform-aware social content suite with compliant tags/captions, grouping, limits, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
twitter-bio-generator,Twitter/X Bio Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
tiktok-bio-generator,TikTok Bio Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
linkedin-bio-generator,LinkedIn Bio Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
domain-name-generator,Domain Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
product-name-generator,Product Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
baby-name-generator,Baby Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
middle-name-generator,Middle Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
last-name-generator,Last Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
discord-name-generator,Discord Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
clan-name-generator,Clan Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
band-name-generator,Band Name Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
superhero-name-generator,Superhero Name Generator,Creative & Story Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
rap-name-generator,Rap Name Generator,Creative & Story Generators,good_enough,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,medium,21,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
song-name-generator,Song Name Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
paragraph-generator,Paragraph Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
sentence-generator,Sentence Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
blog-name-generator,Blog Name Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
pirate-name-generator,Pirate Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as noindex_or_low_priority; Pass 18 status is treated as current.
medieval-name-generator,Medieval Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
hreflang-tag-generator,Hreflang Tag Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
schema-tag-generator,Schema Markup Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
slug-generator,URL Slug Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
hash-generator,Hash Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA.
json-formatter,JSON Formatter,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
coin-flip,Coin Flip Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
dice-roller,Dice Roller,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
color-palette-generator,Color Palette Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
town-name-generator,Town Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
kingdom-name-generator,Kingdom Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
dragon-name-generator,Dragon Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
wolf-name-generator,Wolf Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
demon-name-generator,Demon Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,noindex,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
elf-name-generator,Elf Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
podcast-name-generator,Podcast Name Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
youtube-name-generator,YouTube Channel Name Generator,Creative & Story Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
instagram-caption-generator,Instagram Caption Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
nickname-generator,Nickname Generator,Name Generators,good_enough,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,21,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
hashtag-generator,Hashtag Generator,Social Media & Tag Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA.
etsy-tag-generator,Etsy Tag Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
writing-prompt-generator,Writing Prompt Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
text-to-binary-generator,Text to Binary Converter,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
morse-code-generator,Morse Code Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
star-wars-name-generator,Star Wars Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
anime-name-generator,Anime Name Generator,Creative & Story Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
fake-name-generator,Fake Name Generator,Utility Generators,good_enough,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","fictional/creative use only; no impersonation, fraud, evasion, or identity misuse",noindex,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as hold_sensitive; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
qr-code-text-generator,QR Code Text Generator,Utility Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
dnd-name-generator,D&D Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
orc-name-generator,Orc Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
witch-name-generator,Witch Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
vampire-name-generator,Vampire Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
fairy-name-generator,Fairy Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
goblin-name-generator,Goblin Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
character-name-generator,Character Name Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
story-name-generator,Story Title Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current.
random-phrase-generator,Random Phrase Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
special-character-generator,Special Character Generator,Font & Text Style Generators,good_enough,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,21,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
ascii-text-generator,ASCII Text Art Generator,Font & Text Style Generators,good_enough,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,21,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
creepy-text-generator,Creepy Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
gaming-name-generator,Gaming Name Generator,Gaming & Fantasy Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
guild-name-generator,Guild Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
planet-name-generator,Planet Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
island-name-generator,Island Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
shop-name-generator,Shop Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
cafe-name-generator,Cafe Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
project-name-generator,Project Name Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
stage-name-generator,Stage Name Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
wrestling-name-generator,Wrestling Name Generator,Creative & Story Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
