"slug","name","category","indexable","overall_severity","issue_count","blocker_count","should_fix_count","nice_to_have_count","issue_codes","issue_details","tools_needing_premium_functionality_improvement","tools_needing_seo_content_improvement","should_reconsider_noindex","title_length","meta_description_length","faq_count","related_tool_count","has_tool_options","has_premium_controls","has_premium_guide_copy","unique_tool_intent","premium_tool_functionality","input_driven_output","non_generic_output","title_h1_meta","helpful_intro","useful_below_tool_content","specific_faqs","canonical","robots","related_links","duplicate_page_issue","risky_indexable","mojibake","unsafe_legacy_js","sitemap","ads_safe","layout_cls"
"bio-generator","Bio Generator","bio-caption-generators","yes","should_fix","3","0","1","2","should_fix:seo_metadata_review|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state","seo_metadata_review: titleLength=42; metaDescriptionLength=89; h1Matches=true. || no_visible_specialized_options: Indexable page has only generic input controls; consider specific modes/options. || generic_initial_output_state: Initial output state is generic; acceptable before user input, but page would benefit from a richer example or mode-specific preview.","no","yes","no","42","89","3","3","no","no","yes","pass","pass","review","review","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"brat-text-generator","Brat Text Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=43; metaDescriptionLength=87; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","43","87","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"breadcrumb-generator","Breadcrumb Generator","seo-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=44; metaDescriptionLength=67; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","44","67","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"bubble-text-generator","Bubble Text Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=42; metaDescriptionLength=74; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","42","74","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"castle-name-generator","Castle Name Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=59; metaDescriptionLength=69; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","59","69","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"club-name-generator","Club Name Generator","name-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=56; metaDescriptionLength=62; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","56","62","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"cocktail-name-generator","Cocktail Name Generator","creative-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=46; metaDescriptionLength=66; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","46","66","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"cowboy-name-generator","Cowboy Name Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=39; metaDescriptionLength=57; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","39","57","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"cursive-name-generator","Cursive Name Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=45; metaDescriptionLength=68; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","45","68","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"cursive-text-generator","Cursive Text Generator","text-font-generators","yes","should_fix","3","0","1","2","should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state","generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || no_visible_specialized_options: Indexable page has only generic input controls; consider specific modes/options. || generic_initial_output_state: Initial output state is generic; acceptable before user input, but page would benefit from a richer example or mode-specific preview.","no","yes","no","53","115","0","3","no","no","yes","pass","pass","review","review","pass","pass","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"cute-text-generator","Cute Text Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=53; metaDescriptionLength=73; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","53","73","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"dinosaur-name-generator","Dinosaur Name Generator","name-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=45; metaDescriptionLength=58; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","45","58","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"display-name-generator","Display Name Generator","social-media-tools","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=44; metaDescriptionLength=89; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","44","89","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"dnd-name-generator","D&D Name Generator","gaming-generators","yes","should_fix","3","0","2","1","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|nice_to_have:intro_content_thin_or_keyword_light","seo_metadata_review: titleLength=54; metaDescriptionLength=103; h1Matches=false. || generic_or_thin_faqs: FAQ count=1; at least one FAQ appears generic or too broad. || intro_content_thin_or_keyword_light: Source description is short or not clearly aligned with the primary keyword.","no","yes","no","54","103","1","3","no","yes","yes","pass","pass","pass","pass","review","review","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"drag-name-generator","Drag Queen Name Generator","creative-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_below_tool_content|should_fix:generic_or_thin_faqs","seo_metadata_review: titleLength=48; metaDescriptionLength=62; h1Matches=true. || generic_below_tool_content: Below-tool how-to/tips/why-use content is still the generic template rather than intent-specific guidance. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad.","no","yes","no","48","62","0","3","yes","yes","no","pass","pass","pass","pass","review","pass","review","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"estimate-generator","Estimate Generator","business-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=51; metaDescriptionLength=65; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","51","65","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"fancy-text-generator","Fancy Text Generator","text-font-generators","yes","should_fix","3","0","1","2","should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state","generic_or_thin_faqs: FAQ count=2; at least one FAQ appears generic or too broad. || no_visible_specialized_options: Indexable page has only generic input controls; consider specific modes/options. || generic_initial_output_state: Initial output state is generic; acceptable before user input, but page would benefit from a richer example or mode-specific preview.","no","yes","no","53","152","2","3","no","no","yes","pass","pass","review","review","pass","pass","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"favicon-generator","Favicon Generator","developer-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=43; metaDescriptionLength=62; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","43","62","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"funny-name-generator","Funny Name Generator","name-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=54; metaDescriptionLength=56; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","54","56","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"gamertag-generator","Gamertag Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_below_tool_content|should_fix:generic_or_thin_faqs","seo_metadata_review: titleLength=40; metaDescriptionLength=73; h1Matches=true. || generic_below_tool_content: Below-tool how-to/tips/why-use content is still the generic template rather than intent-specific guidance. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad.","no","yes","no","40","73","0","2","no","yes","no","pass","pass","pass","pass","review","pass","review","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"gnome-name-generator","Gnome Name Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=48; metaDescriptionLength=90; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","48","90","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"html-code-generator","HTML Code Generator","developer-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=42; metaDescriptionLength=70; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","42","70","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"invisible-text-generator","Invisible Text Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=48; metaDescriptionLength=84; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","48","84","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"letterhead-generator","Letterhead Generator","business-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=52; metaDescriptionLength=68; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","52","68","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"logo-generator","Logo Generator","business-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=41; metaDescriptionLength=74; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","41","74","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"mermaid-name-generator","Mermaid Name Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=47; metaDescriptionLength=59; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","47","59","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"meta-description-generator","Meta Description Generator","seo-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=45; metaDescriptionLength=75; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","45","75","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"monster-name-generator","Monster Name Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=55; metaDescriptionLength=86; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","55","86","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"mood-board-generator","Mood Board Generator","creative-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=48; metaDescriptionLength=77; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","48","77","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"pen-name-generator","Pen Name Generator","name-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=38; metaDescriptionLength=66; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","38","66","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"pet-name-generator","Pet Name Generator","name-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=56; metaDescriptionLength=103; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","56","103","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"pixel-text-generator","Pixel Text Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=44; metaDescriptionLength=84; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","44","84","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"playlist-name-generator","Playlist Name Generator","creative-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=46; metaDescriptionLength=85; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","46","85","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"productivity-prompt-generator","Productivity Prompt Generator","ai-writing-generators","yes","should_fix","3","0","2","1","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|nice_to_have:intro_content_thin_or_keyword_light","seo_metadata_review: titleLength=47; metaDescriptionLength=77; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || intro_content_thin_or_keyword_light: Source description is short or not clearly aligned with the primary keyword.","no","yes","no","47","77","0","3","yes","yes","yes","pass","pass","pass","pass","review","review","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"proposal-generator","Proposal Generator","business-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=52; metaDescriptionLength=75; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","52","75","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"pwa-manifest-generator","PWA Manifest Generator","developer-generators","yes","should_fix","3","0","2","1","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|nice_to_have:intro_content_thin_or_keyword_light","seo_metadata_review: titleLength=41; metaDescriptionLength=79; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || intro_content_thin_or_keyword_light: Source description is short or not clearly aligned with the primary keyword.","no","yes","no","41","79","0","3","yes","yes","yes","pass","pass","pass","pass","review","review","pass","review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass"
"qr-code-generator","QR Code Generator","utility-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=40; metaDescriptionLength=64; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","40","64","0","0","yes","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"retro-text-generator","Retro Text Generator","text-font-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=55; metaDescriptionLength=63; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","55","63","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"robot-name-generator","Robot Name Generator","gaming-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=42; metaDescriptionLength=64; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","42","64","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
"ship-name-generator","Ship Name Generator","creative-generators","yes","should_fix","3","0","3","0","should_fix:seo_metadata_review|should_fix:generic_or_thin_faqs|should_fix:weak_related_links","seo_metadata_review: titleLength=49; metaDescriptionLength=69; h1Matches=true. || generic_or_thin_faqs: FAQ count=0; at least one FAQ appears generic or too broad. || weak_related_links: Only 0 related tool cards found.","no","yes","no","49","69","0","0","no","yes","yes","pass","pass","pass","pass","review","pass","pass","review","pass","pass","review","pass","pass","pass","pass","pass","pass","pass"
