slug,tool_name,category,index_status,human_tone_score,natural_or_template_like,repetitive_phrasing_risk,robotic_ai_like_wording_risk,recommended_rewrite_if_needed,intent_match_score,exact_user_intent_solved,options_output_aligned_with_keyword,missing_user_expectations,semantic_coverage_score,primary_keyword_natural_usage,secondary_intent_coverage,related_terms_entities_use_cases,over_optimization_risk,thin_content_risk,topical_authority_score,category_cluster_fit,related_tools_quality,internal_linking_usefulness,missing_supporting_pages_blog_category_content,usefulness_score,intro_clarity,options_clarity,output_usefulness,copy_button_usefulness,explanation_disclaimer_quality,mobile_readability_concern,overall_content_score,helpful_content_risk,scaled_content_risk,doorway_thin_content_risk,duplicate_template_risk,unsafe_claim_risk,adsense_adx_risk,main_issue,recommended_fix,priority
password-generator,Password Generator,Utility Generators,noindex,7.5,natural enough for utility page,low,low,none,10,yes,yes,"FAQ support is thin. Premium useful page, but risk profile supports keeping noindex.",8.9,strong,strong,strong,low,minor,8.3,strong,strong,adequate,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,adequate,low from code structure,8.8,medium,low,low,low,low,controlled by noindex/safety framing,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
lorem-ipsum-generator,Lorem Ipsum Generator,Utility Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
fantasy-name-generator,Fantasy Name Generator,Gaming & Fantasy Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,9.2,strong,strong,strong,low,minor,8.9,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9,low,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",low
instagram-hashtag-generator,Instagram Hashtag Generator,Social Media & Tag Generators,noindex,7.5,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
text-case-converter,Text Case Converter,Utility Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
team-name-generator,Team Name Generator,Name Generators,index,8.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.9,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
robots-txt-generator,Robots.txt Generator,SEO & Marketing Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
word-counter,Word Counter,Utility Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,adequate,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
uuid-generator,UUID Generator,Developer & Web Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
random-number-generator,Random Number Generator,Random Generators,index,7.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.3,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
small-text-generator,Small Text Generator,Font & Text Style Generators,index,7.9,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.9,strong,strong,strong,low,minor,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.6,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,low,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",low
italic-text-generator,Italic Text Generator,Font & Text Style Generators,index,7.9,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.2,adequate,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.6,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
strikethrough-text-generator,Strikethrough Text Generator,Font & Text Style Generators,index,7.9,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.2,adequate,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.6,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
underline-text-generator,Underline Text Generator,Font & Text Style Generators,index,7.9,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.6,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
vaporwave-text-generator,Vaporwave Text Generator,Font & Text Style Generators,index,7.5,natural enough for utility page,low,low,none,10,yes,yes,"FAQ support is thin. Safety, limitation, or disclaimer language should be stronger.",8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,7.4,strong,minimal,intent-specific and copyable,strong shared copy controls,needs stronger disclaimer,minor visual/code preview review recommended after UI changes,8.3,medium,low,medium,low,medium,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs; Add a concise safety or limitation disclaimer.",medium
reverse-text-generator,Reverse Text Generator,Font & Text Style Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.6,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.6,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
unicode-text-generator,Unicode Text Generator,Font & Text Style Generators,index,7.9,natural enough for utility page,low,low,none,10,yes,yes,"FAQ support is thin. Safety, limitation, or disclaimer language should be stronger.",8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,7.4,strong,minimal,intent-specific and copyable,strong shared copy controls,needs stronger disclaimer,minor visual/code preview review recommended after UI changes,8.4,medium,low,medium,low,medium,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs; Add a concise safety or limitation disclaimer.",medium
tiktok-hashtag-generator,TikTok Hashtag Generator,Social Media & Tag Generators,noindex,7.5,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
twitter-bio-generator,Twitter/X Bio Generator,Bio & Caption Generators,noindex,8.5,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
tiktok-bio-generator,TikTok Bio Generator,Bio & Caption Generators,noindex,8.1,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
linkedin-bio-generator,LinkedIn Bio Generator,Bio & Caption Generators,noindex,8.1,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
domain-name-generator,Domain Name Generator,Business & Brand Generators,index,8.4,natural enough for utility page,low,low,none,8.8,yes,partial,Options are minimal for the expected intent.,8.9,strong,strong,strong,low,low,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.9,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,low,low,low,low,low,low,Options are minimal for the expected intent.,Add or clarify format/style/depth controls that match the keyword.,none
product-name-generator,Product Name Generator,Business & Brand Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.1,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
baby-name-generator,Baby Name Generator,Name Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.9,strong,strong,strong,low,minor,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.9,low,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",low
middle-name-generator,Middle Name Generator,Name Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
last-name-generator,Last Name Generator,Name Generators,index,7.1,somewhat template-like,medium,medium,"Add specific examples, user scenarios, and less formulaic FAQ language.",10,yes,yes,Template-like phrasing or thin FAQ pattern makes the page feel less human. FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.9,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,medium,low,low,Template-like phrasing or thin FAQ pattern makes the page feel less human.,"Rewrite intro/FAQ in more concrete user language with examples and output-specific detail; Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
discord-name-generator,Discord Name Generator,Name Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
clan-name-generator,Clan Name Generator,Gaming & Fantasy Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
band-name-generator,Band Name Generator,Creative & Story Generators,index,7.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.1,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
superhero-name-generator,Superhero Name Generator,Creative & Story Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.9,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
rap-name-generator,Rap Name Generator,Creative & Story Generators,index,8.4,natural enough for utility page,low,low,none,10,yes,yes,none,8.9,strong,strong,strong,low,low,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.3,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9,low,low,low,low,low,low,No material helpful-content issue found.,No rewrite needed before launch.,none
song-name-generator,Song Name Generator,Creative & Story Generators,index,7.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.7,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.5,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
paragraph-generator,Paragraph Generator,AI Text & Writing Generators,index,7.5,natural enough for utility page,low,medium,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
sentence-generator,Sentence Generator,AI Text & Writing Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
blog-name-generator,Blog Name Generator,AI Text & Writing Generators,index,8.1,natural enough for utility page,low,low,none,10,yes,yes,none,8.9,strong,strong,strong,low,low,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.7,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9.1,low,low,low,low,low,low,No material helpful-content issue found.,No rewrite needed before launch.,none
pirate-name-generator,Pirate Name Generator,Gaming & Fantasy Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
medieval-name-generator,Medieval Name Generator,Gaming & Fantasy Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
hreflang-tag-generator,Hreflang Tag Generator,SEO & Marketing Generators,index,7.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
schema-tag-generator,Schema Markup Generator,SEO & Marketing Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,"FAQ support is thin. Safety, limitation, or disclaimer language should be stronger.",8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,minor supporting content opportunity only,7.9,strong,clear,intent-specific and copyable,strong shared copy controls,needs stronger disclaimer,minor visual/code preview review recommended after UI changes,8.5,medium,low,medium,low,medium,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs; Add a concise safety or limitation disclaimer.",medium
slug-generator,URL Slug Generator,Developer & Web Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
hash-generator,Hash Generator,Developer & Web Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.8,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
json-formatter,JSON Formatter,Developer & Web Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
coin-flip,Coin Flip Generator,Random Generators,index,7.6,natural enough for utility page,low,low,none,8.8,yes,partial,Options are minimal for the expected intent. FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.6,strong,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.4,medium,low,medium,low,low,low,Options are minimal for the expected intent.,"Add or clarify format/style/depth controls that match the keyword; Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
dice-roller,Dice Roller,Random Generators,index,7.6,natural enough for utility page,low,low,none,8.8,yes,partial,Options are minimal for the expected intent. FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.2,adequate,minimal,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.3,medium,low,medium,low,low,low,Options are minimal for the expected intent.,"Add or clarify format/style/depth controls that match the keyword; Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
color-palette-generator,Color Palette Generator,Developer & Web Generators,index,8.7,natural enough for utility page,low,low,none,8.8,yes,partial,Options are minimal for the expected intent.,8.9,strong,strong,strong,low,low,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,8.9,strong,minimal,intent-specific and copyable,strong shared copy controls,adequate,minor visual/code preview review recommended after UI changes,8.8,low,low,low,low,low,low,Options are minimal for the expected intent.,Add or clarify format/style/depth controls that match the keyword.,none
town-name-generator,Town Name Generator,Gaming & Fantasy Generators,index,8.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,9.5,strong,strong,strong,low,minor,8.9,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9.4,strong,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,9.2,low,low,low,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",low
kingdom-name-generator,Kingdom Name Generator,Gaming & Fantasy Generators,index,7.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.9,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
dragon-name-generator,Dragon Name Generator,Gaming & Fantasy Generators,index,7.6,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.2,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
wolf-name-generator,Wolf Name Generator,Gaming & Fantasy Generators,index,7.2,natural enough for utility page,low,low,none,10,yes,yes,FAQ support is thin.,8.5,strong,strong,strong,low,medium,8.6,strong,strong,strong,category hub could use subcategory sections and editorial guidance,9,adequate,clear,intent-specific and copyable,strong shared copy controls,not required,low from code structure,8.7,medium,low,medium,low,low,low,FAQ support is thin.,"Add intent-specific FAQs covering usage, limitations, and best-fit outputs.",medium
