"slug","page_loads","correct_title","input_panel_ok","options_ok","output_panel_ok","copy_buttons_visible","mobile_layout_risk","visual_quality","issue_found","recommended_fix"
"sitemap-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"open-graph-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"twitter-card-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"html-table-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"json-schema-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"regex-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"uuid-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"lorem-ipsum-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"word-counter","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"text-case-converter","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"text-to-binary-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"discord-timestamp-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"json-formatter","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"hash-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"cron-expression-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
"html-code-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"css-code-generator","yes","yes","yes","yes","yes","yes","low","premium","none","Fixed in shared visual polish pass."
"random-number-generator","yes","yes","yes","yes","yes","yes","low","premium","none","none"
