scope,check,status,details
"es/convertidor-de-mayusculas-y-minusculas","title/description/h1 present","PASS","Convertidor de mayúsculas y minúsculas gratis | Cambia texto entre mayúsculas, minúsculas, título y otros formatos comunes. | Convertidor de mayúsculas y minúsculas"
"es/esquema-para-blog","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/esquema-para-blog","self canonical","PASS","https://taptogen.com/es/tools/esquema-para-blog/"
"es/esquema-para-blog","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/esquema-para-blog","language switch same tool","PASS","en:https://taptogen.com/tools/blog-outline-generator/ es:https://taptogen.com/es/tools/esquema-para-blog/ fr:https://taptogen.com/fr/tools/generateur-de-plan-darticle/ de:https://taptogen.com/de/tools/blog-gliederung-generator/ pt:https://taptogen.com/pt/tools/gerador-de-estrutura-para-blog/ it:https://taptogen.com/it/tools/generatore-di-scaletta-blog/ pl:https://taptogen.com/pl/tools/generator-konspektu-bloga/ x-default:https://taptogen.com/tools/blog-outline-generator/"
"es/esquema-para-blog","no localhost/vercel host","PASS",""
"es/esquema-para-blog","title/description/h1 present","PASS","Esquema para blog gratis | Crea estructuras de artículos con secciones, subtítulos e ideas principales. | Generador de esquema para blog"
"es/generador-de-apellidos","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-apellidos","self canonical","PASS","https://taptogen.com/es/tools/generador-de-apellidos/"
"es/generador-de-apellidos","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-apellidos","language switch same tool","PASS","en:https://taptogen.com/tools/last-name-generator/ es:https://taptogen.com/es/tools/generador-de-apellidos/ fr:https://taptogen.com/fr/tools/generateur-de-noms-de-famille/ de:https://taptogen.com/de/tools/nachnamen-generator/ pt:https://taptogen.com/pt/tools/gerador-de-sobrenomes/ it:https://taptogen.com/it/tools/generatore-di-cognomi/ pl:https://taptogen.com/pl/tools/generator-nazwisk/ x-default:https://taptogen.com/tools/last-name-generator/"
"es/generador-de-apellidos","no localhost/vercel host","PASS",""
"es/generador-de-apellidos","title/description/h1 present","PASS","Generador de apellidos gratis | Crea apellidos ficticios o de estilo general para personajes, historias y ejemplos. | Generador de apellidos"
"es/generador-de-descripciones-de-productos","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-descripciones-de-productos","self canonical","PASS","https://taptogen.com/es/tools/generador-de-descripciones-de-productos/"
"es/generador-de-descripciones-de-productos","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-descripciones-de-productos","language switch same tool","PASS","en:https://taptogen.com/tools/product-description-generator/ es:https://taptogen.com/es/tools/generador-de-descripciones-de-productos/ fr:https://taptogen.com/fr/tools/generateur-de-description-produit/ de:https://taptogen.com/de/tools/produktbeschreibung-generator/ pt:https://taptogen.com/pt/tools/gerador-de-descricoes-de-produtos/ it:https://taptogen.com/it/tools/generatore-di-descrizioni-prodotto/ pl:https://taptogen.com/pl/tools/generator-opisow-produktow/ x-default:https://taptogen.com/tools/product-description-generator/"
"es/generador-de-descripciones-de-productos","no localhost/vercel host","PASS",""
"es/generador-de-descripciones-de-productos","title/description/h1 present","PASS","Generador de descripciones de productos gratis | Crea borradores de descripciones para productos, tiendas y fichas comerciales. | Generador de descripciones de productos"
"es/generador-de-etiqueta-canonical","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-etiqueta-canonical","self canonical","PASS","https://taptogen.com/es/tools/generador-de-etiqueta-canonical/"
"es/generador-de-etiqueta-canonical","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-etiqueta-canonical","language switch same tool","PASS","en:https://taptogen.com/tools/canonical-tag-generator/ es:https://taptogen.com/es/tools/generador-de-etiqueta-canonical/ fr:https://taptogen.com/fr/tools/generateur-de-balise-canonique/ de:https://taptogen.com/de/tools/canonical-tag-generator/ pt:https://taptogen.com/pt/tools/gerador-de-tag-canonical/ it:https://taptogen.com/it/tools/generatore-di-tag-canonical/ pl:https://taptogen.com/pl/tools/generator-tagu-canonical/ x-default:https://taptogen.com/tools/canonical-tag-generator/"
"es/generador-de-etiqueta-canonical","no localhost/vercel host","PASS",""
"es/generador-de-etiqueta-canonical","title/description/h1 present","PASS","Generador de etiqueta canónical gratis | Crea borradores de etiquetas canónical para indicar la URL preferida de una pagina. | Generador de etiqueta canónical"
"es/generador-de-etiquetas-open-graph","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-etiquetas-open-graph","self canonical","PASS","https://taptogen.com/es/tools/generador-de-etiquetas-open-graph/"
"es/generador-de-etiquetas-open-graph","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-etiquetas-open-graph","language switch same tool","PASS","en:https://taptogen.com/tools/open-graph-generator/ es:https://taptogen.com/es/tools/generador-de-etiquetas-open-graph/ fr:https://taptogen.com/fr/tools/generateur-open-graph/ de:https://taptogen.com/de/tools/open-graph-generator/ pt:https://taptogen.com/pt/tools/gerador-de-open-graph/ it:https://taptogen.com/it/tools/generatore-open-graph/ pl:https://taptogen.com/pl/tools/generator-open-graph/ x-default:https://taptogen.com/tools/open-graph-generator/"
"es/generador-de-etiquetas-open-graph","no localhost/vercel host","PASS",""
"es/generador-de-etiquetas-open-graph","title/description/h1 present","PASS","Generador de etiquetas Open Graph gratis | Crea borradores de etiquetas Open Graph para vistas previas al compartir enlaces. | Generador de etiquetas Open Graph"
"es/generador-de-etiquetas-para-videos","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-etiquetas-para-videos","self canonical","PASS","https://taptogen.com/es/tools/generador-de-etiquetas-para-videos/"
"es/generador-de-etiquetas-para-videos","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-etiquetas-para-videos","language switch same tool","PASS","en:https://taptogen.com/tools/youtube-tag-generator/ es:https://taptogen.com/es/tools/generador-de-etiquetas-para-videos/ fr:https://taptogen.com/fr/tools/generateur-de-tags-video/ de:https://taptogen.com/de/tools/video-tags-generator/ pt:https://taptogen.com/pt/tools/gerador-de-tags-para-video/ it:https://taptogen.com/it/tools/generatore-di-tag-video/ pl:https://taptogen.com/pl/tools/generator-tagow-wideo/ x-default:https://taptogen.com/tools/youtube-tag-generator/"
"es/generador-de-etiquetas-para-videos","no localhost/vercel host","PASS",""
"es/generador-de-etiquetas-para-videos","title/description/h1 present","PASS","Generador de etiquetas para videos gratis | Crea ideas de etiquetas para organizar y describir videos sin prometer posicionamiento. | Generador de etiquetas para videos"
"es/generador-de-frases-para-marca","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-frases-para-marca","self canonical","PASS","https://taptogen.com/es/tools/generador-de-frases-para-marca/"
"es/generador-de-frases-para-marca","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-frases-para-marca","language switch same tool","PASS","en:https://taptogen.com/tools/tagline-generator/ es:https://taptogen.com/es/tools/generador-de-frases-para-marca/ fr:https://taptogen.com/fr/tools/generateur-de-baseline/ de:https://taptogen.com/de/tools/claim-generator/ pt:https://taptogen.com/pt/tools/gerador-de-frases-de-marca/ it:https://taptogen.com/it/tools/generatore-di-tagline/ pl:https://taptogen.com/pl/tools/generator-tagline/ x-default:https://taptogen.com/tools/tagline-generator/"
"es/generador-de-frases-para-marca","no localhost/vercel host","PASS",""
"es/generador-de-frases-para-marca","title/description/h1 present","PASS","Generador de frases para marca gratis | Crea frases cortas de marca para comunicar propuesta, estilo o posicionamiento. | Generador de frases para marca"
"es/generador-de-hashtags","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-hashtags","self canonical","PASS","https://taptogen.com/es/tools/generador-de-hashtags/"
"es/generador-de-hashtags","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-hashtags","language switch same tool","PASS","en:https://taptogen.com/tools/hashtag-generator/ es:https://taptogen.com/es/tools/generador-de-hashtags/ fr:https://taptogen.com/fr/tools/generateur-de-hashtags/ de:https://taptogen.com/de/tools/hashtag-generator/ pt:https://taptogen.com/pt/tools/gerador-de-hashtags/ it:https://taptogen.com/it/tools/generatore-di-hashtag/ pl:https://taptogen.com/pl/tools/generator-hashtagow/ x-default:https://taptogen.com/tools/hashtag-generator/"
"es/generador-de-hashtags","no localhost/vercel host","PASS",""
"es/generador-de-hashtags","title/description/h1 present","PASS","Generador de hashtags gratis | Crea hashtags relacionados con un tema, campaña, publicación o idea de contenido. | Generador de hashtags"
"es/generador-de-kit-de-marca","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-kit-de-marca","self canonical","PASS","https://taptogen.com/es/tools/generador-de-kit-de-marca/"
"es/generador-de-kit-de-marca","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-kit-de-marca","language switch same tool","PASS","en:https://taptogen.com/tools/brand-kit-generator/ es:https://taptogen.com/es/tools/generador-de-kit-de-marca/ fr:https://taptogen.com/fr/tools/generateur-de-kit-de-marque/ de:https://taptogen.com/de/tools/markenkit-generator/ pt:https://taptogen.com/pt/tools/gerador-de-kit-de-marca/ it:https://taptogen.com/it/tools/generatore-di-brand-kit/ pl:https://taptogen.com/pl/tools/generator-zestawu-marki/ x-default:https://taptogen.com/tools/brand-kit-generator/"
"es/generador-de-kit-de-marca","no localhost/vercel host","PASS",""
"es/generador-de-kit-de-marca","title/description/h1 present","PASS","Generador de kit de marca gratis | Crea una base de marca con ideas para nombre, tono, colores y mensajes iniciales. | Generador de kit de marca"
"es/generador-de-meta-descripciones","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-meta-descripciones","self canonical","PASS","https://taptogen.com/es/tools/generador-de-meta-descripciones/"
"es/generador-de-meta-descripciones","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-meta-descripciones","language switch same tool","PASS","en:https://taptogen.com/tools/meta-description-generator/ es:https://taptogen.com/es/tools/generador-de-meta-descripciones/ fr:https://taptogen.com/fr/tools/generateur-de-meta-description/ de:https://taptogen.com/de/tools/meta-beschreibung-generator/ pt:https://taptogen.com/pt/tools/gerador-de-meta-descriptions/ it:https://taptogen.com/it/tools/generatore-di-meta-description/ pl:https://taptogen.com/pl/tools/generator-meta-description/ x-default:https://taptogen.com/tools/meta-description-generator/"
"es/generador-de-meta-descripciones","no localhost/vercel host","PASS",""
"es/generador-de-meta-descripciones","title/description/h1 present","PASS","Generador de meta descripciones gratis | Crea meta descripciones para páginas, artículos y fichas con enfoque claro de clic. | Generador de meta descripciones"
"es/generador-de-meta-tags","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-meta-tags","self canonical","PASS","https://taptogen.com/es/tools/generador-de-meta-tags/"
"es/generador-de-meta-tags","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-meta-tags","language switch same tool","PASS","en:https://taptogen.com/tools/meta-tag-generator/ es:https://taptogen.com/es/tools/generador-de-meta-tags/ fr:https://taptogen.com/fr/tools/generateur-de-balises-meta/ de:https://taptogen.com/de/tools/meta-tag-generator/ pt:https://taptogen.com/pt/tools/gerador-de-meta-tags/ it:https://taptogen.com/it/tools/generatore-di-meta-tag/ pl:https://taptogen.com/pl/tools/generator-meta-tagow/ x-default:https://taptogen.com/tools/meta-tag-generator/"
"es/generador-de-meta-tags","no localhost/vercel host","PASS",""
"es/generador-de-meta-tags","title/description/h1 present","PASS","Generador de meta tags gratis | Crea borradores de meta tags para páginas web, SEO tecnico y vistas previas sociales. | Generador de meta tags"
"es/generador-de-nombres","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-nombres","self canonical","PASS","https://taptogen.com/es/tools/generador-de-nombres/"
"es/generador-de-nombres","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-nombres","language switch same tool","PASS","en:https://taptogen.com/tools/name-generator/ es:https://taptogen.com/es/tools/generador-de-nombres/ fr:https://taptogen.com/fr/tools/generateur-de-noms/ de:https://taptogen.com/de/tools/namensgenerator/ pt:https://taptogen.com/pt/tools/gerador-de-nomes/ it:https://taptogen.com/it/tools/generatore-di-nomi/ pl:https://taptogen.com/pl/tools/generator-nazw/ x-default:https://taptogen.com/tools/name-generator/"
"es/generador-de-nombres","no localhost/vercel host","PASS",""
"es/generador-de-nombres","title/description/h1 present","PASS","Generador de nombres gratis | Crea ideas de nombres claras para proyectos, personajes, marcas o listas personales con resultados fáciles de revisar. | Generador de nombres"
"es/generador-de-nombres-de-dominio","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-nombres-de-dominio","self canonical","PASS","https://taptogen.com/es/tools/generador-de-nombres-de-dominio/"
"es/generador-de-nombres-de-dominio","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-nombres-de-dominio","language switch same tool","PASS","en:https://taptogen.com/tools/domain-name-generator/ es:https://taptogen.com/es/tools/generador-de-nombres-de-dominio/ fr:https://taptogen.com/fr/tools/generateur-de-nom-de-domaine/ de:https://taptogen.com/de/tools/domainnamen-generator/ pt:https://taptogen.com/pt/tools/gerador-de-nomes-de-dominio/ it:https://taptogen.com/it/tools/generatore-di-nomi-dominio/ pl:https://taptogen.com/pl/tools/generator-nazw-domen/ x-default:https://taptogen.com/tools/domain-name-generator/"
"es/generador-de-nombres-de-dominio","no localhost/vercel host","PASS",""
"es/generador-de-nombres-de-dominio","title/description/h1 present","PASS","Generador de nombres de dominio gratis | Genera ideas de dominios para sitios, productos y negocios, sin garantizar disponibilidad. | Generador de nombres de dominio"
"es/generador-de-nombres-de-equipo","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-nombres-de-equipo","self canonical","PASS","https://taptogen.com/es/tools/generador-de-nombres-de-equipo/"
"es/generador-de-nombres-de-equipo","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-nombres-de-equipo","language switch same tool","PASS","en:https://taptogen.com/tools/team-name-generator/ es:https://taptogen.com/es/tools/generador-de-nombres-de-equipo/ fr:https://taptogen.com/fr/tools/generateur-de-noms-dequipe/ de:https://taptogen.com/de/tools/teamnamen-generator/ pt:https://taptogen.com/pt/tools/gerador-de-nomes-de-equipe/ it:https://taptogen.com/it/tools/generatore-di-nomi-per-squadre/ pl:https://taptogen.com/pl/tools/generator-nazw-zespolow/ x-default:https://taptogen.com/tools/team-name-generator/"
"es/generador-de-nombres-de-equipo","no localhost/vercel host","PASS",""
"es/generador-de-nombres-de-equipo","title/description/h1 present","PASS","Generador de nombres de equipo gratis | Crea nombres para equipos de trabajo, deportes recreativos, clases o grupos creativos. | Generador de nombres de equipo"
"es/generador-de-nombres-de-fantasia","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-nombres-de-fantasia","self canonical","PASS","https://taptogen.com/es/tools/generador-de-nombres-de-fantasia/"
"es/generador-de-nombres-de-fantasia","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-nombres-de-fantasia","language switch same tool","PASS","en:https://taptogen.com/tools/fantasy-name-generator/ es:https://taptogen.com/es/tools/generador-de-nombres-de-fantasia/ fr:https://taptogen.com/fr/tools/generateur-de-noms-fantasy/ de:https://taptogen.com/de/tools/fantasy-namensgenerator/ pt:https://taptogen.com/pt/tools/gerador-de-nomes-de-fantasia/ it:https://taptogen.com/it/tools/generatore-di-nomi-fantasy/ pl:https://taptogen.com/pl/tools/generator-imion-fantasy/ x-default:https://taptogen.com/tools/fantasy-name-generator/"
"es/generador-de-nombres-de-fantasia","no localhost/vercel host","PASS",""
"es/generador-de-nombres-de-fantasia","title/description/h1 present","PASS","Generador de nombres de fantasía gratis | Crea nombres de fantasía para historias, juegos de rol y mundos imaginarios sin usar marcas existentes. | Generador de nombres de fantasía"
"es/generador-de-nombres-de-usuario","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-nombres-de-usuario","self canonical","PASS","https://taptogen.com/es/tools/generador-de-nombres-de-usuario/"
"es/generador-de-nombres-de-usuario","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-nombres-de-usuario","language switch same tool","PASS","en:https://taptogen.com/tools/username-generator/ es:https://taptogen.com/es/tools/generador-de-nombres-de-usuario/ fr:https://taptogen.com/fr/tools/generateur-de-pseudo/ de:https://taptogen.com/de/tools/benutzernamen-generator/ pt:https://taptogen.com/pt/tools/gerador-de-nome-de-usuario/ it:https://taptogen.com/it/tools/generatore-di-username/ pl:https://taptogen.com/pl/tools/generator-nazw-uzytkownika/ x-default:https://taptogen.com/tools/username-generator/"
"es/generador-de-nombres-de-usuario","no localhost/vercel host","PASS",""
"es/generador-de-nombres-de-usuario","title/description/h1 present","PASS","Generador de nombres de usuario gratis | Encuentra ideas de usuario para perfiles, cuentas y proyectos sin prometer disponibilidad en plataformas. | Generador de nombres de usuario"
"es/generador-de-nombres-para-empresas","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-nombres-para-empresas","self canonical","PASS","https://taptogen.com/es/tools/generador-de-nombres-para-empresas/"
"es/generador-de-nombres-para-empresas","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-nombres-para-empresas","language switch same tool","PASS","en:https://taptogen.com/tools/business-name-generator/ es:https://taptogen.com/es/tools/generador-de-nombres-para-empresas/ fr:https://taptogen.com/fr/tools/generateur-de-nom-dentreprise/ de:https://taptogen.com/de/tools/firmennamen-generator/ pt:https://taptogen.com/pt/tools/gerador-de-nomes-para-empresas/ it:https://taptogen.com/it/tools/generatore-di-nomi-aziendali/ pl:https://taptogen.com/pl/tools/generator-nazw-firm/ x-default:https://taptogen.com/tools/business-name-generator/"
"es/generador-de-nombres-para-empresas","no localhost/vercel host","PASS",""
"es/generador-de-nombres-para-empresas","title/description/h1 present","PASS","Generador de nombres para empresas gratis | Genera ideas de nombres comerciales para nuevos negocios, servicios y proyectos profesionales. | Generador de nombres para empresas"
"es/generador-de-nombres-para-personajes","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-nombres-para-personajes","self canonical","PASS","https://taptogen.com/es/tools/generador-de-nombres-para-personajes/"
"es/generador-de-nombres-para-personajes","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-nombres-para-personajes","language switch same tool","PASS","en:https://taptogen.com/tools/character-name-generator/ es:https://taptogen.com/es/tools/generador-de-nombres-para-personajes/ fr:https://taptogen.com/fr/tools/generateur-de-noms-de-personnages/ de:https://taptogen.com/de/tools/charakter-namensgenerator/ pt:https://taptogen.com/pt/tools/gerador-de-nomes-de-personagens/ it:https://taptogen.com/it/tools/generatore-di-nomi-per-personaggi/ pl:https://taptogen.com/pl/tools/generator-imion-postaci/ x-default:https://taptogen.com/tools/character-name-generator/"
"es/generador-de-nombres-para-personajes","no localhost/vercel host","PASS",""
"es/generador-de-nombres-para-personajes","title/description/h1 present","PASS","Generador de nombres para personajes gratis | Encuentra nombres para personajes de historias, juegos, guiones y proyectos creativos. | Generador de nombres para personajes"
"es/generador-de-oraciones","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-oraciones","self canonical","PASS","https://taptogen.com/es/tools/generador-de-oraciones/"
"es/generador-de-oraciones","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-oraciones","language switch same tool","PASS","en:https://taptogen.com/tools/sentence-generator/ es:https://taptogen.com/es/tools/generador-de-oraciones/ fr:https://taptogen.com/fr/tools/generateur-de-phrases/ de:https://taptogen.com/de/tools/satz-generator/ pt:https://taptogen.com/pt/tools/gerador-de-frases/ it:https://taptogen.com/it/tools/generatore-di-frasi/ pl:https://taptogen.com/pl/tools/generator-zdan/ x-default:https://taptogen.com/tools/sentence-generator/"
"es/generador-de-oraciones","no localhost/vercel host","PASS",""
"es/generador-de-oraciones","title/description/h1 present","PASS","Generador de oraciones gratis | Crea oraciones de ejemplo para escritura, práctica, contenido o lluvia de ideas. | Generador de oraciones"
"es/generador-de-palabras-clave","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-palabras-clave","self canonical","PASS","https://taptogen.com/es/tools/generador-de-palabras-clave/"
"es/generador-de-palabras-clave","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-palabras-clave","language switch same tool","PASS","en:https://taptogen.com/tools/keyword-generator/ es:https://taptogen.com/es/tools/generador-de-palabras-clave/ fr:https://taptogen.com/fr/tools/generateur-de-mots-cles/ de:https://taptogen.com/de/tools/keyword-generator/ pt:https://taptogen.com/pt/tools/gerador-de-palavras-chave/ it:https://taptogen.com/it/tools/generatore-di-parole-chiave/ pl:https://taptogen.com/pl/tools/generator-slow-kluczowych/ x-default:https://taptogen.com/tools/keyword-generator/"
"es/generador-de-palabras-clave","no localhost/vercel host","PASS",""
"es/generador-de-palabras-clave","title/description/h1 present","PASS","Generador de palabras clave gratis | Encuentra ideas de palabras clave para contenido, SEO, anuncios o investigacion inicial. | Generador de palabras clave"
"es/generador-de-parrafos","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-parrafos","self canonical","PASS","https://taptogen.com/es/tools/generador-de-parrafos/"
"es/generador-de-parrafos","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-parrafos","language switch same tool","PASS","en:https://taptogen.com/tools/paragraph-generator/ es:https://taptogen.com/es/tools/generador-de-parrafos/ fr:https://taptogen.com/fr/tools/generateur-de-paragraphes/ de:https://taptogen.com/de/tools/absatz-generator/ pt:https://taptogen.com/pt/tools/gerador-de-paragrafos/ it:https://taptogen.com/it/tools/generatore-di-paragrafi/ pl:https://taptogen.com/pl/tools/generator-akapitow/ x-default:https://taptogen.com/tools/paragraph-generator/"
"es/generador-de-parrafos","no localhost/vercel host","PASS",""
"es/generador-de-parrafos","title/description/h1 present","PASS","Generador de párrafos gratis | Crea borradores de párrafos para ideas, artículos, descripciones o ejercicios de escritura. | Generador de párrafos"
"es/generador-de-preguntas-frecuentes","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-preguntas-frecuentes","self canonical","PASS","https://taptogen.com/es/tools/generador-de-preguntas-frecuentes/"
"es/generador-de-preguntas-frecuentes","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-preguntas-frecuentes","language switch same tool","PASS","en:https://taptogen.com/tools/faq-generator/ es:https://taptogen.com/es/tools/generador-de-preguntas-frecuentes/ fr:https://taptogen.com/fr/tools/generateur-de-faq/ de:https://taptogen.com/de/tools/faq-generator/ pt:https://taptogen.com/pt/tools/gerador-de-perguntas-frequentes/ it:https://taptogen.com/it/tools/generatore-di-faq/ pl:https://taptogen.com/pl/tools/generator-faq/ x-default:https://taptogen.com/tools/faq-generator/"
"es/generador-de-preguntas-frecuentes","no localhost/vercel host","PASS",""
"es/generador-de-preguntas-frecuentes","title/description/h1 present","PASS","Generador de preguntas frecuentes gratis | Crea ideas de preguntas frecuentes para páginas, productos, servicios o artículos. | Generador de preguntas frecuentes"
"es/generador-de-robots-txt","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-robots-txt","self canonical","PASS","https://taptogen.com/es/tools/generador-de-robots-txt/"
"es/generador-de-robots-txt","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
"es/generador-de-robots-txt","language switch same tool","PASS","en:https://taptogen.com/tools/robots-txt-generator/ es:https://taptogen.com/es/tools/generador-de-robots-txt/ fr:https://taptogen.com/fr/tools/generateur-robots-txt/ de:https://taptogen.com/de/tools/robots-txt-generator/ pt:https://taptogen.com/pt/tools/gerador-de-robots-txt/ it:https://taptogen.com/it/tools/generatore-di-robots-txt/ pl:https://taptogen.com/pl/tools/generator-robots-txt/ x-default:https://taptogen.com/tools/robots-txt-generator/"
"es/generador-de-robots-txt","no localhost/vercel host","PASS",""
"es/generador-de-robots-txt","title/description/h1 present","PASS","Generador de robots.txt gratis | Crea borradores de archivos robots.txt para reglas basicas de rastreo. | Generador de robots.txt"
"es/generador-de-segundo-nombre","index/follow render","PASS","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"es/generador-de-segundo-nombre","self canonical","PASS","https://taptogen.com/es/tools/generador-de-segundo-nombre/"
"es/generador-de-segundo-nombre","hreflang complete","PASS","de|en|es|fr|it|pl|pt|x-default"
