slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
band-name-generator,Band Name Generator,Creative & Story Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
superhero-name-generator,Superhero Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
rap-name-generator,Rap Name Generator,Creative & Story Generators,medium,yes,okay,good,none,"Safe tool has usable output or partial structured rendering, but expected incremental value is not high enough for the next premium batch.",Leave as-is for now; revisit after launch analytics.,good_enough
song-name-generator,Song Name Generator,Creative & Story Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
paragraph-generator,Paragraph Generator,AI Text & Writing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
sentence-generator,Sentence Generator,AI Text & Writing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
blog-name-generator,Blog Name Generator,AI Text & Writing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
pirate-name-generator,Pirate Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
medieval-name-generator,Medieval Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
hreflang-tag-generator,Hreflang Tag Generator,SEO & Marketing Generators,medium,yes,premium,premium,none,Pass 18 added option-aware intent-specific premium sections with copyable outputs.,No upgrade now; keep in regression QA.,premium_done
schema-tag-generator,Schema Markup Generator,SEO & Marketing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
slug-generator,URL Slug Generator,Developer & Web Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
hash-generator,Hash Generator,Developer & Web Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
json-formatter,JSON Formatter,Developer & Web Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
coin-flip,Coin Flip Generator,Random Generators,noindex,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
dice-roller,Dice Roller,Random Generators,noindex,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
color-palette-generator,Color Palette Generator,Developer & Web Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
town-name-generator,Town Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
kingdom-name-generator,Kingdom Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
dragon-name-generator,Dragon Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
wolf-name-generator,Wolf Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
demon-name-generator,Demon Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
elf-name-generator,Elf Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
podcast-name-generator,Podcast Name Generator,Creative & Story Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
youtube-name-generator,YouTube Channel Name Generator,Creative & Story Generators,high,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
instagram-caption-generator,Instagram Caption Generator,Bio & Caption Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
nickname-generator,Nickname Generator,Name Generators,medium,yes,okay,good,none,"Safe tool has usable output or partial structured rendering, but expected incremental value is not high enough for the next premium batch.",Leave as-is for now; revisit after launch analytics.,good_enough
hashtag-generator,Hashtag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
etsy-tag-generator,Etsy Tag Generator,SEO & Marketing Generators,high,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
writing-prompt-generator,Writing Prompt Generator,AI Text & Writing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
text-to-binary-generator,Text to Binary Converter,Developer & Web Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
morse-code-generator,Morse Code Generator,Developer & Web Generators,medium,yes,premium,premium,none,Pass 18 added option-aware intent-specific premium sections with copyable outputs.,No upgrade now; keep in regression QA.,premium_done
star-wars-name-generator,Star Wars Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
anime-name-generator,Anime Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
fake-name-generator,Fake Name Generator,Utility Generators,noindex,yes,okay,basic,none,No urgent premium gap found after the current upgrade passes.,Keep as-is until launch data identifies demand.,good_enough
qr-code-text-generator,QR Code Text Generator,Utility Generators,medium,yes,premium,premium,none,Pass 18 added option-aware intent-specific premium sections with copyable outputs.,No upgrade now; keep in regression QA.,premium_done
dnd-name-generator,D&D Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
orc-name-generator,Orc Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
witch-name-generator,Witch Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
vampire-name-generator,Vampire Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
fairy-name-generator,Fairy Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
goblin-name-generator,Goblin Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
character-name-generator,Character Name Generator,Creative & Story Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
story-name-generator,Story Title Generator,Creative & Story Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,high,yes,okay,good,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
random-phrase-generator,Random Phrase Generator,Random Generators,noindex,yes,okay,basic,none,No urgent premium gap found after the current upgrade passes.,Keep as-is until launch data identifies demand.,good_enough
special-character-generator,Special Character Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,No urgent premium gap found after the current upgrade passes.,Keep as-is until launch data identifies demand.,good_enough
ascii-text-generator,ASCII Text Art Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,No urgent premium gap found after the current upgrade passes.,Keep as-is until launch data identifies demand.,good_enough
creepy-text-generator,Creepy Text Generator,Font & Text Style Generators,noindex,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
gaming-name-generator,Gaming Name Generator,Gaming & Fantasy Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
guild-name-generator,Guild Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
planet-name-generator,Planet Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
island-name-generator,Island Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
shop-name-generator,Shop Name Generator,Business & Brand Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
cafe-name-generator,Cafe Name Generator,Business & Brand Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
project-name-generator,Project Name Generator,Business & Brand Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
stage-name-generator,Stage Name Generator,Creative & Story Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
wrestling-name-generator,Wrestling Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
cool-text-generator,Cool Text Generator,Font & Text Style Generators,low,yes,okay,basic,none,Lower priority intent with limited expected return from another premium pass.,Defer from premium passes.,noindex_or_low_priority
old-english-text-generator,Old English Text Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,No urgent premium gap found after the current upgrade passes.,Keep as-is until launch data identifies demand.,good_enough
uwu-text-generator,UwU Text Generator,Font & Text Style Generators,noindex,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
leet-text-generator,Leet Speak Generator,Font & Text Style Generators,noindex,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
random-text-generator,Random Text Generator,Random Generators,noindex,yes,okay,basic,none,No urgent premium gap found after the current upgrade passes.,Keep as-is until launch data identifies demand.,good_enough
discord-timestamp-generator,Discord Timestamp Generator,Developer & Web Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
canonical-tag-generator,Canonical Tag Generator,SEO & Marketing Generators,medium,yes,premium,premium,none,Pass 18 added option-aware intent-specific premium sections with copyable outputs.,No upgrade now; keep in regression QA.,premium_done
utm-generator,UTM Link Generator,SEO & Marketing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
gibberish-generator,Gibberish Generator,Random Generators,noindex,yes,okay,basic,none,No urgent premium gap found after the current upgrade passes.,Keep as-is until launch data identifies demand.,good_enough
shakespeare-insult-generator,Shakespeare Insult Generator,Random Generators,noindex,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
roblox-name-generator,Roblox Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
tiktok-name-generator,TikTok Name Generator,Creative & Story Generators,medium,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
instagram-name-generator,Instagram Name Generator,Creative & Story Generators,medium,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
couple-name-generator,Couple Name Generator,Name Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
dwarf-name-generator,Dwarf Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
tiefling-name-generator,Tiefling Name Generator,Gaming & Fantasy Generators,medium,yes,basic,basic,none,"Low strategic search value, novelty-heavy intent, or narrow fantasy/text effect use case after the major premium passes.",Do not select for Pass 19; defer unless analytics later proves demand.,noindex_or_low_priority
harry-potter-name-generator,Harry Potter Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
pokemon-name-generator,Pokemon Name Generator,Gaming & Fantasy Generators,noindex,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
school-name-generator,School Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
street-name-generator,Street Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Safe, clear keyword intent remains mostly basic and can benefit from structured premium output, options, validation notes, previews, or copyable sections.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
book-club-name-generator,Book Club Name Generator,Creative & Story Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
seo-title-generator,SEO Title Generator,SEO & Marketing Generators,high,yes,premium,premium,none,Current renderer already has strong slug-specific premium output with structured sections/cards and copy actions.,No upgrade now; keep in regression QA.,premium_done
facebook-hashtag-generator,Facebook Hashtag Generator,Social Media & Tag Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
pinterest-tag-generator,Pinterest Tag Generator,Social Media & Tag Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
soundcloud-tag-generator,SoundCloud Tag Generator,Social Media & Tag Generators,medium,yes,okay,good,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
comeback-generator,Comeback Generator,Random Generators,noindex,yes,basic,basic,none,"Sensitive, legal/security, platform/franchise, or abuse-adjacent intent; avoid premium expansion unless specifically reviewed.",Hold out of Pass 19; include only in safety/legal regression QA if needed.,hold_sensitive
error-message-generator,Error Message Generator,Developer & Web Generators,medium,yes,premium,premium,none,Pass 18 added option-aware intent-specific premium sections with copyable outputs.,No upgrade now; keep in regression QA.,premium_done
cipher-generator,Cipher Generator,Developer & Web Generators,medium,yes,premium,premium,none,Pass 18 added option-aware intent-specific premium sections with copyable outputs.,No upgrade now; keep in regression QA.,premium_done
repeat-text-generator,Repeat Text Generator,Utility Generators,medium,yes,premium,premium,none,Pass 18 added option-aware intent-specific premium sections with copyable outputs.,No upgrade now; keep in regression QA.,premium_done
