slug,name,category,indexable,overall_severity,issue_count,blocker_count,should_fix_count,nice_to_have_count,issue_codes,issue_details,tools_needing_premium_functionality_improvement,tools_needing_seo_content_improvement,should_reconsider_noindex,title_length,meta_description_length,faq_count,related_tool_count,has_tool_options,has_premium_controls,has_premium_guide_copy,unique_tool_intent,premium_tool_functionality,input_driven_output,non_generic_output,title_h1_meta,helpful_intro,useful_below_tool_content,specific_faqs,canonical,robots,related_links,duplicate_page_issue,risky_indexable,mojibake,unsafe_legacy_js,sitemap,ads_safe,layout_cls
reverse-text-generator,Reverse Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,41,107,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
unicode-text-generator,Unicode Text Generator,text-font-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,53,153,4,4,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
twitter-bio-generator,Twitter/X Bio Generator,bio-caption-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,41,124,4,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass
tiktok-bio-generator,TikTok Bio Generator,bio-caption-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,42,83,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass
linkedin-bio-generator,LinkedIn Bio Generator,bio-caption-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,44,90,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass
domain-name-generator,Domain Name Generator,business-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,42,107,3,3,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
product-name-generator,Product Name Generator,business-generators,yes,pass,0,0,0,0,,,no,no,no,51,149,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
baby-name-generator,Baby Name Generator,name-generators,yes,pass,0,0,0,0,,,no,no,no,46,104,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
middle-name-generator,Middle Name Generator,name-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,50,137,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
last-name-generator,Last Name Generator,name-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,58,111,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
discord-name-generator,Discord Name Generator,name-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=50; metaDescriptionLength=178; h1Matches=true.,no,yes,no,50,178,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
clan-name-generator,Clan Name Generator,gaming-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,51,109,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
band-name-generator,Band Name Generator,creative-generators,yes,pass,0,0,0,0,,,no,no,no,38,117,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
superhero-name-generator,Superhero Name Generator,creative-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,43,108,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
rap-name-generator,Rap Name Generator,creative-generators,yes,should_fix,1,0,1,0,should_fix:generic_or_thin_faqs,generic_or_thin_faqs: FAQ count=2; FAQ answers should be specific and useful.,no,yes,no,46,122,2,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
song-name-generator,Song Name Generator,creative-generators,yes,pass,0,0,0,0,,,no,no,no,48,133,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
paragraph-generator,Paragraph Generator,ai-writing-generators,yes,pass,0,0,0,0,,,no,no,no,48,133,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
sentence-generator,Sentence Generator,ai-writing-generators,yes,pass,0,0,0,0,,,no,no,no,47,132,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
blog-name-generator,Blog Name Generator,ai-writing-generators,yes,pass,0,0,0,0,,,no,no,no,46,104,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
pirate-name-generator,Pirate Name Generator,gaming-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,50,135,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
medieval-name-generator,Medieval Name Generator,gaming-generators,yes,pass,0,0,0,0,,,no,no,no,52,156,4,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
hreflang-tag-generator,Hreflang Tag Generator,seo-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=51; metaDescriptionLength=182; h1Matches=true.,no,yes,no,51,182,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
schema-tag-generator,Schema Markup Generator,seo-generators,yes,pass,0,0,0,0,,,no,no,no,52,147,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
slug-generator,URL Slug Generator,developer-generators,yes,pass,0,0,0,0,,,no,no,no,43,143,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
hash-generator,Hash Generator,developer-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=43; metaDescriptionLength=162; h1Matches=true.,no,yes,no,43,162,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
json-formatter,JSON Formatter,developer-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=43; metaDescriptionLength=171; h1Matches=true.,no,yes,no,43,171,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
coin-flip,Coin Flip Generator,random-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,37,159,4,3,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
dice-roller,Dice Roller,random-generators,yes,should_fix,2,0,1,1,should_fix:seo_metadata_review|nice_to_have:no_visible_specialized_options,seo_metadata_review: titleLength=39; metaDescriptionLength=170; h1Matches=true. || no_visible_specialized_options: Indexable page has no visible specialized options.,yes,yes,no,39,170,4,3,no,yes,yes,pass,review,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
color-palette-generator,Color Palette Generator,developer-generators,yes,nice_to_have,1,0,0,1,nice_to_have:no_visible_specialized_options,no_visible_specialized_options: Indexable page has no visible specialized options.,yes,no,no,49,109,3,3,no,yes,yes,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
town-name-generator,Town Name Generator,gaming-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,48,133,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
kingdom-name-generator,Kingdom Name Generator,gaming-generators,yes,pass,0,0,0,0,,,no,no,no,51,152,4,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
dragon-name-generator,Dragon Name Generator,gaming-generators,yes,pass,0,0,0,0,,,no,no,no,49,160,4,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
wolf-name-generator,Wolf Name Generator,gaming-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,52,110,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
demon-name-generator,Demon Name Generator,gaming-generators,yes,should_fix,3,0,1,2,should_fix:seo_metadata_review|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,seo_metadata_review: titleLength=48; metaDescriptionLength=163; h1Matches=true. || no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,yes,no,48,163,4,3,no,yes,yes,pass,review,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
elf-name-generator,Elf Name Generator,gaming-generators,yes,pass,0,0,0,0,,,no,no,no,46,149,4,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
podcast-name-generator,Podcast Name Generator,creative-generators,yes,pass,0,0,0,0,,,no,no,no,51,136,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
youtube-name-generator,YouTube Channel Name Generator,creative-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,43,70,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass
instagram-caption-generator,Instagram Caption Generator,bio-caption-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,52,98,1,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass
nickname-generator,Nickname Generator,name-generators,yes,pass,0,0,0,0,,,no,no,no,47,134,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
hashtag-generator,Hashtag Generator,social-media-tools,yes,should_fix,3,0,1,2,should_fix:seo_metadata_review|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,seo_metadata_review: titleLength=36; metaDescriptionLength=165; h1Matches=true. || no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,yes,no,36,165,3,3,no,yes,yes,pass,review,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
etsy-tag-generator,Etsy Tag Generator,seo-generators,yes,pass,0,0,0,0,,,no,no,no,48,141,6,3,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
writing-prompt-generator,Writing Prompt Generator,ai-writing-generators,yes,pass,0,0,0,0,,,no,no,no,47,113,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
text-to-binary-generator,Text to Binary Converter,developer-generators,yes,pass,0,0,0,0,,,no,no,no,53,149,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
morse-code-generator,Morse Code Generator,developer-generators,yes,pass,0,0,0,0,,,no,no,no,49,145,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
anime-name-generator,Anime Name Generator,creative-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=48; metaDescriptionLength=164; h1Matches=true.,no,yes,no,48,164,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
fake-name-generator,Fake Name Generator,utility-generators,no,blocker,1,1,0,0,blocker:sitemap_mismatch,sitemap_mismatch: Noindex page appears in sitemap.,no,no,no,47,104,1,3,no,yes,yes,pass,pass,pass,pass,pass,review,pass,review,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass
qr-code-text-generator,QR Code Text Generator,utility-generators,yes,pass,0,0,0,0,,,no,no,no,55,136,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
dnd-name-generator,D&D Name Generator,gaming-generators,yes,should_fix,4,0,1,3,should_fix:seo_metadata_review|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state|nice_to_have:intro_content_thin_or_keyword_light,seo_metadata_review: titleLength=46; metaDescriptionLength=146; h1Matches=false. || no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples. || intro_content_thin_or_keyword_light: Source description could be more aligned with primary keyword.,yes,yes,no,46,146,4,3,no,yes,yes,pass,review,review,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
orc-name-generator,Orc Name Generator,gaming-generators,yes,should_fix,3,0,1,2,should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,generic_or_thin_faqs: FAQ count=0; FAQ answers should be specific and useful. || no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,yes,no,47,132,0,4,no,yes,yes,pass,review,review,review,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
witch-name-generator,Witch Name Generator,gaming-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,39,117,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
alien-name-generator,Alien Name Generator,gaming-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=48; metaDescriptionLength=167; h1Matches=true.,no,yes,no,48,167,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
vampire-name-generator,Vampire Name Generator,gaming-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,57,112,4,4,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
fairy-name-generator,Fairy Name Generator,gaming-generators,yes,should_fix,3,0,1,2,should_fix:seo_metadata_review|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,seo_metadata_review: titleLength=49; metaDescriptionLength=169; h1Matches=true. || no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,yes,no,49,169,4,3,no,yes,yes,pass,review,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
goblin-name-generator,Goblin Name Generator,gaming-generators,yes,nice_to_have,2,0,0,2,nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,no,no,50,157,4,3,no,yes,yes,pass,review,review,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
character-name-generator,Character Name Generator,creative-generators,yes,should_fix,1,0,1,0,should_fix:seo_metadata_review,seo_metadata_review: titleLength=52; metaDescriptionLength=162; h1Matches=true.,no,yes,no,52,162,4,3,yes,yes,yes,pass,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
story-name-generator,Story Title Generator,creative-generators,yes,pass,0,0,0,0,,,no,no,no,49,135,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
twitch-name-generator,Twitch Name Generator,creative-generators,yes,pass,0,0,0,0,,,no,no,no,50,135,4,4,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
random-phrase-generator,Random Phrase Generator,random-generators,yes,should_fix,3,0,1,2,should_fix:generic_or_thin_faqs|nice_to_have:no_visible_specialized_options|nice_to_have:generic_initial_output_state,generic_or_thin_faqs: FAQ count=0; FAQ answers should be specific and useful. || no_visible_specialized_options: Indexable page has no visible specialized options. || generic_initial_output_state: Initial output state may benefit from richer mode-specific examples.,yes,yes,no,52,137,0,4,no,yes,yes,pass,review,review,review,pass,pass,pass,review,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
