"canonicalToolId","language","primaryKeyword","localizedSlug","h1","faqTopics"
"hashtag-generator","bg","генератор на хаштагове","generator-na-hashtagove","Генератор на хаштагове","хаштагове за социални мрежи | популярни хаштагове | идеи за хаштагове"
"keyword-generator","sv","sokord generator","sokord-generator","Sokord generator","SEO sokord | keyword ideer | sokordsanalys"
"keyword-generator","ms","penjana kata kunci","penjana-kata-kunci","Penjana kata kunci","kata kunci SEO | idea keyword | kajian kata kunci"
"keyword-generator","bg","генератор на ключови думи","generator-na-klyuchovi-dumi","Генератор на ключови думи","SEO ключови думи | идеи за keyword | проучване на ключови думи"
"meta-tag-generator","sv","meta tag generator","meta-tag-generator","Meta tag generator","meta taggar SEO | title och description | sidtaggar"
"meta-tag-generator","ms","penjana meta tag","penjana-meta-tag","Penjana meta tag","meta tag SEO | title dan description | tag halaman"
"meta-tag-generator","bg","генератор на мета тагове","generator-na-meta-tagove","Генератор на мета тагове","мета тагове SEO | title и description | тагове на страница"
"meta-description-generator","sv","meta description generator","meta-description-generator","Meta description generator","meta description SEO | sokresultat snippet | sidbeskrivning"
"meta-description-generator","ms","penjana meta description","penjana-meta-description","Penjana meta description","meta description SEO | snippet carian | deskripsi halaman"
"meta-description-generator","bg","генератор на мета описания","generator-na-meta-opisaniya","Генератор на мета описания","мета описание SEO | снипет в търсене | описание на страница"
"seo-title-generator","sv","SEO titel generator","seo-titel-generator","SEO titel generator","SEO titel | title tag | sokrubriker"
"seo-title-generator","ms","penjana tajuk SEO","penjana-tajuk-seo","Penjana tajuk SEO","tajuk SEO | title tag | tajuk carian"
"seo-title-generator","bg","генератор на SEO заглавия","generator-na-seo-zaglaviya","Генератор на SEO заглавия","SEO заглавие | title tag | заглавия за търсене"
"faq-generator","sv","FAQ generator","faq-generator","FAQ generator","vanliga fragor | FAQ for webbplats | fragor och svar"
"faq-generator","ms","penjana FAQ","penjana-faq","Penjana FAQ","soalan lazim | FAQ laman web | soal jawab"
"faq-generator","bg","генератор на FAQ","generator-na-faq","Генератор на FAQ","често задавани въпроси | FAQ за сайт | въпроси и отговори"
"canonical-tag-generator","sv","canonical tag generator","canonical-tag-generator","Canonical tag generator","canonical SEO | kanonisk tagg | foredragen URL"
"canonical-tag-generator","ms","penjana tag canonical","penjana-tag-canonical","Penjana tag canonical","canonical SEO | tag kanonik | URL utama"
"canonical-tag-generator","bg","генератор на canonical таг","generator-na-canonical-tag","Генератор на canonical таг","canonical SEO | каноничен таг | основен URL"
"robots-txt-generator","sv","robots.txt generator","robots-txt-generator","Robots.txt generator","robots.txt SEO | robots fil | crawl regler"
"robots-txt-generator","ms","penjana robots.txt","penjana-robots-txt","Penjana robots.txt","robots.txt SEO | fail robots | aturan crawling"
"robots-txt-generator","bg","генератор на robots.txt","generator-na-robots-txt","Генератор на robots.txt","robots.txt SEO | robots файл | правила за обхождане"
"open-graph-generator","sv","Open Graph generator","open-graph-generator","Open Graph generator","Open Graph SEO | lankforhandsvisning | sociala taggar"
"open-graph-generator","ms","penjana Open Graph","penjana-open-graph","Penjana Open Graph","Open Graph SEO | pratonton pautan | tag sosial"
"open-graph-generator","bg","генератор на Open Graph","generator-na-open-graph","Генератор на Open Graph","Open Graph SEO | преглед на линк | социални тагове"
"fancy-text-generator","sv","snygg text generator","snygg-text-generator","Snygg text generator","text att kopiera | snygga bokstaver | dekorativa typsnitt"
"fancy-text-generator","ms","penjana teks cantik","penjana-teks-cantik","Penjana teks cantik","teks untuk disalin | huruf cantik | fon dekoratif"
"fancy-text-generator","bg","генератор на красив текст","generator-na-krasiv-tekst","Генератор на красив текст","текст за копиране | красиви букви | декоративни шрифтове"
"bold-text-generator","sv","fet text generator","fet-text-generator","Fet text generator","fet Unicode | feta bokstaver | kopiera fet text"
"bold-text-generator","ms","penjana teks tebal","penjana-teks-tebal","Penjana teks tebal","bold Unicode | huruf tebal | salin teks tebal"
"bold-text-generator","bg","генератор на удебелен текст","generator-na-udebelen-tekst","Генератор на удебелен текст","bold Unicode | удебелени букви | копиране на удебелен текст"
"cursive-text-generator","sv","kursiv skrivstil generator","kursiv-skrivstil-generator","Kursiv skrivstil generator","skrivstil att kopiera | dekorativ kursiv | snygg text"
"cursive-text-generator","ms","penjana teks kursif","penjana-teks-kursif","Penjana teks kursif","kursif untuk disalin | teks tulisan tangan | huruf dekoratif"
"cursive-text-generator","bg","генератор на ръкописен текст","generator-na-rakopisen-tekst","Генератор на ръкописен текст","курсив за копиране | ръкописен текст | декоративен курсив"
"italic-text-generator","sv","italic text generator","italic-text-generator","Italic text generator","italic Unicode | lutande text | kopiera italic"
"italic-text-generator","ms","penjana teks italic","penjana-teks-italic","Penjana teks italic","italic Unicode | teks condong | salin italic"
"italic-text-generator","bg","генератор на italic текст","generator-na-italic-tekst","Генератор на italic текст","italic Unicode | наклонен текст | копиране на курсив"
"small-text-generator","sv","liten text generator","liten-text-generator","Liten text generator","sma bokstaver | minitext | kopiera small text"
"small-text-generator","ms","penjana teks kecil","penjana-teks-kecil","Penjana teks kecil","huruf kecil dekoratif | teks mini | salin small text"
"small-text-generator","bg","генератор на малък текст","generator-na-malak-tekst","Генератор на малък текст","малки букви | мини текст | копиране на small text"
"reverse-text-generator","sv","vanda text","vanda-text","Vanda text","text baklanges | vanda ord | skriva baklanges"
"reverse-text-generator","ms","terbalikkan teks","terbalikkan-teks","Terbalikkan teks","teks terbalik | balik perkataan | tulis songsang"
"reverse-text-generator","bg","обърни текст","obarni-tekst","Обърни текст","текст наобратно | обръщане на думи | писане отзад напред"
"text-case-converter","sv","konvertera stora och sma bokstaver","konvertera-stora-och-sma-bokstaver","Konvertera stora och sma bokstaver","versaler | gemener | textkapitalisering"
"text-case-converter","ms","penukar huruf besar kecil","penukar-huruf-besar-kecil","Penukar huruf besar kecil","ubah huruf besar | ubah huruf kecil | kapitalisasi teks"
"text-case-converter","bg","конвертор на главни и малки букви","konvertor-na-glavni-i-malki-bukvi","Конвертор на главни и малки букви","главни букви | малки букви | капитализация на текст"
"word-counter","sv","ordraknare","ordraknare","Ordraknare","rakna ord | teckenraknare | textlangd"
"word-counter","ms","pengira perkataan","pengira-perkataan","Pengira perkataan","kira perkataan | pengira aksara | panjang teks"
"word-counter","bg","брояч на думи","broyach-na-dumi","Брояч на думи","броене на думи | брояч на символи | дължина на текст"
"paragraph-generator","sv","stycke generator","stycke-generator","Stycke generator","stycken for text | skriva stycke | styckeideer"
"paragraph-generator","ms","penjana perenggan","penjana-perenggan","Penjana perenggan","perenggan untuk teks | menulis perenggan | idea perenggan"
"paragraph-generator","bg","генератор на абзаци","generator-na-abzatsi","Генератор на абзаци","абзаци за текст | писане на абзац | идеи за абзаци"
"sentence-generator","sv","meningsgenerator","meningsgenerator","Meningsgenerator","exempelmeningar | skapa fraser | meningar for text"
"sentence-generator","ms","penjana ayat","penjana-ayat","Penjana ayat","contoh ayat | buat ayat | ayat untuk tulisan"
"sentence-generator","bg","генератор на изречения","generator-na-izrecheniya","Генератор на изречения","примерни изречения | създаване на фрази | изречения за текст"
"writing-prompt-generator","sv","skrivprompt generator","skrivprompt-generator","Skrivprompt generator","skrivprompter | berattelseideer | kreativa ovningar"
"writing-prompt-generator","ms","penjana idea menulis","penjana-idea-menulis","Penjana idea menulis","prompt menulis | idea cerita | latihan kreatif"
"writing-prompt-generator","bg","генератор на идеи за писане","generator-na-idei-za-pisane","Генератор на идеи за писане","писателски промптове | идеи за истории | творчески упражнения"
"blog-outline-generator","sv","bloggdisposition generator","bloggdisposition-generator","Bloggdisposition generator","bloggstruktur | artikel outline | innehallsplan"
"blog-outline-generator","ms","penjana rangka blog","penjana-rangka-blog","Penjana rangka blog","struktur blog | outline artikel | rancangan kandungan"
"blog-outline-generator","bg","генератор на план за блог","generator-na-plan-za-blog","Генератор на план за блог","структура на блог | план на статия | контент план"
"product-description-generator","sv","produktbeskrivning generator","produktbeskrivning-generator","Produktbeskrivning generator","produktbeskrivning | produktsida | e-handel text"
"product-description-generator","ms","penjana deskripsi produk","penjana-deskripsi-produk","Penjana deskripsi produk","deskripsi produk | halaman produk | copy ecommerce"
"product-description-generator","bg","генератор на продуктови описания","generator-na-produktovi-opisaniya","Генератор на продуктови описания","описание на продукт | продуктова страница | ecommerce текст"
