slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
password-generator,Password Generator,Utility Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
lorem-ipsum-generator,Lorem Ipsum Generator,Utility Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
fantasy-name-generator,Fantasy Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
instagram-hashtag-generator,Instagram Hashtag Generator,Social Media & Tag Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
text-case-converter,Text Case Converter,Utility Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
team-name-generator,Team Name Generator,Name Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
robots-txt-generator,Robots.txt Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
word-counter,Word Counter,Utility Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
uuid-generator,UUID Generator,Developer & Web Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
random-number-generator,Random Number Generator,Random Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
small-text-generator,Small Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
italic-text-generator,Italic Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
strikethrough-text-generator,Strikethrough Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
underline-text-generator,Underline Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
vaporwave-text-generator,Vaporwave Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
reverse-text-generator,Reverse Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
unicode-text-generator,Unicode Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
tiktok-hashtag-generator,TikTok Hashtag Generator,Social Media & Tag Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
twitter-bio-generator,Twitter/X Bio Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
tiktok-bio-generator,TikTok Bio Generator,Bio & Caption Generators,low,yes,okay,good,high,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
linkedin-bio-generator,LinkedIn Bio Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
domain-name-generator,Domain Name Generator,Business & Brand Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
product-name-generator,Product Name Generator,Business & Brand Generators,low,yes,okay,good,high,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
baby-name-generator,Baby Name Generator,Name Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
middle-name-generator,Middle Name Generator,Name Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
last-name-generator,Last Name Generator,Name Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
discord-name-generator,Discord Name Generator,Name Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
clan-name-generator,Clan Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
band-name-generator,Band Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
superhero-name-generator,Superhero Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
rap-name-generator,Rap Name Generator,Creative & Story Generators,medium,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
song-name-generator,Song Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
paragraph-generator,Paragraph Generator,AI Text & Writing Generators,low,yes,okay,good,medium,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
sentence-generator,Sentence Generator,AI Text & Writing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
blog-name-generator,Blog Name Generator,AI Text & Writing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
pirate-name-generator,Pirate Name Generator,Gaming & Fantasy Generators,low,yes,okay,good,low,"Lower search value, novelty intent, duplicate-adjacent coverage, or infrastructure-heavy output makes it a later candidate.",Defer or consider noindex/merge review before investing premium logic.,noindex_or_low_priority
medieval-name-generator,Medieval Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
hreflang-tag-generator,Hreflang Tag Generator,SEO & Marketing Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
schema-tag-generator,Schema Markup Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
slug-generator,URL Slug Generator,Developer & Web Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
hash-generator,Hash Generator,Developer & Web Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
json-formatter,JSON Formatter,Developer & Web Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
coin-flip,Coin Flip Generator,Random Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
dice-roller,Dice Roller,Random Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
color-palette-generator,Color Palette Generator,Developer & Web Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
town-name-generator,Town Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
kingdom-name-generator,Kingdom Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
dragon-name-generator,Dragon Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
wolf-name-generator,Wolf Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
demon-name-generator,Demon Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,low,"Lower search value, novelty intent, duplicate-adjacent coverage, or infrastructure-heavy output makes it a later candidate.",Defer or consider noindex/merge review before investing premium logic.,noindex_or_low_priority
elf-name-generator,Elf Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
podcast-name-generator,Podcast Name Generator,Creative & Story Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
youtube-name-generator,YouTube Channel Name Generator,Creative & Story Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
instagram-caption-generator,Instagram Caption Generator,Bio & Caption Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
nickname-generator,Nickname Generator,Name Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
hashtag-generator,Hashtag Generator,Social Media & Tag Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
etsy-tag-generator,Etsy Tag Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
writing-prompt-generator,Writing Prompt Generator,AI Text & Writing Generators,low,yes,okay,good,medium,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
text-to-binary-generator,Text to Binary Converter,Developer & Web Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
morse-code-generator,Morse Code Generator,Developer & Web Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
star-wars-name-generator,Star Wars Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
anime-name-generator,Anime Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
fake-name-generator,Fake Name Generator,Utility Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
qr-code-text-generator,QR Code Text Generator,Utility Generators,noindex,yes,okay,good,medium,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
dnd-name-generator,D&D Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
orc-name-generator,Orc Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
witch-name-generator,Witch Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
vampire-name-generator,Vampire Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
fairy-name-generator,Fairy Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
goblin-name-generator,Goblin Name Generator,Gaming & Fantasy Generators,low,yes,okay,good,low,"Lower search value, novelty intent, duplicate-adjacent coverage, or infrastructure-heavy output makes it a later candidate.",Defer or consider noindex/merge review before investing premium logic.,noindex_or_low_priority
character-name-generator,Character Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
story-name-generator,Story Title Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
random-phrase-generator,Random Phrase Generator,Random Generators,low,yes,okay,good,medium,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
special-character-generator,Special Character Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
ascii-text-generator,ASCII Text Art Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
creepy-text-generator,Creepy Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower search value, novelty intent, duplicate-adjacent coverage, or infrastructure-heavy output makes it a later candidate.",Defer or consider noindex/merge review before investing premium logic.,noindex_or_low_priority
gaming-name-generator,Gaming Name Generator,Gaming & Fantasy Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
guild-name-generator,Guild Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
planet-name-generator,Planet Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
island-name-generator,Island Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
shop-name-generator,Shop Name Generator,Business & Brand Generators,low,yes,okay,good,high,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
cafe-name-generator,Cafe Name Generator,Business & Brand Generators,low,yes,okay,good,high,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
project-name-generator,Project Name Generator,Business & Brand Generators,low,yes,okay,good,high,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
stage-name-generator,Stage Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
wrestling-name-generator,Wrestling Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
cool-text-generator,Cool Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
old-english-text-generator,Old English Text Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
uwu-text-generator,UwU Text Generator,Font & Text Style Generators,low,yes,okay,good,low,"Lower search value, novelty intent, duplicate-adjacent coverage, or infrastructure-heavy output makes it a later candidate.",Defer or consider noindex/merge review before investing premium logic.,noindex_or_low_priority
leet-text-generator,Leet Speak Generator,Font & Text Style Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
random-text-generator,Random Text Generator,Random Generators,low,yes,okay,good,medium,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
discord-timestamp-generator,Discord Timestamp Generator,Developer & Web Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
canonical-tag-generator,Canonical Tag Generator,SEO & Marketing Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
utm-generator,UTM Link Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
gibberish-generator,Gibberish Generator,Random Generators,low,yes,okay,good,low,"Lower search value, novelty intent, duplicate-adjacent coverage, or infrastructure-heavy output makes it a later candidate.",Defer or consider noindex/merge review before investing premium logic.,noindex_or_low_priority
shakespeare-insult-generator,Shakespeare Insult Generator,Random Generators,low,yes,okay,good,low,"Lower search value, novelty intent, duplicate-adjacent coverage, or infrastructure-heavy output makes it a later candidate.",Defer or consider noindex/merge review before investing premium logic.,noindex_or_low_priority
roblox-name-generator,Roblox Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
tiktok-name-generator,TikTok Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
instagram-name-generator,Instagram Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
couple-name-generator,Couple Name Generator,Name Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
dwarf-name-generator,Dwarf Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
tiefling-name-generator,Tiefling Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
harry-potter-name-generator,Harry Potter Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
pokemon-name-generator,Pokemon Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
school-name-generator,School Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
street-name-generator,Street Name Generator,Gaming & Fantasy Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
book-club-name-generator,Book Club Name Generator,Creative & Story Generators,low,yes,strong,good,none,Existing slug-specific logic is strong for current intent; monitor after higher-value gaps are closed.,Defer; revisit after urgent/high upgrade backlog.,good_enough
seo-title-generator,SEO Title Generator,SEO & Marketing Generators,low,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
facebook-hashtag-generator,Facebook Hashtag Generator,Social Media & Tag Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
pinterest-tag-generator,Pinterest Tag Generator,Social Media & Tag Generators,noindex,yes,premium,premium,none,Completed in intent-specific premium logic Pass 1-13; keep as baseline unless QA finds regressions.,No Pass 14 work; keep in regression QA set.,premium_done
soundcloud-tag-generator,SoundCloud Tag Generator,Social Media & Tag Generators,low,yes,okay,good,high,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
comeback-generator,Comeback Generator,Random Generators,noindex,yes,okay,good,medium,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
error-message-generator,Error Message Generator,Developer & Web Generators,noindex,yes,okay,good,high,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
cipher-generator,Cipher Generator,Developer & Web Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
repeat-text-generator,Repeat Text Generator,Utility Generators,low,yes,okay,good,medium,Has slug-specific logic but output remains generic/basic for a commercial or clear-intent page.,Candidate for a future intent-specific premium upgrade pass with structured output and copy actions.,needs_premium_upgrade
fortnite-name-generator,Fortnite Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
minecraft-name-generator,Minecraft Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
valorant-name-generator,Valorant Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,good,none,"Sensitive, legal/compliance, brand/franchise, or trademark-adjacent intent needs careful review before broad upgrade.",Hold for safety/legal/franchise review and add disclaimers before any upgrade.,hold_sensitive
