slug,classification,primary_risk,upgrade_readiness,do_not_touch,merge_or_canonical_candidate,policy_sensitive,reason,next_action
facebook-hashtag-generator,needs_merge_or_canonical,duplicate_platform_spam_tag_tool,canonical_decision_required,no,yes,no,"Overlaps broader hashtag/tag tooling while still being platform, reach, and spam adjacent.","Do not upgrade standalone; decide merge/canonical/noindex path first."
comeback-generator,keep_noindex_risky,harassment_conflict_escalation,not_safe_for_indexing,yes,no,no,"Comeback generation can easily become targeted harassment or conflict escalation.","Keep noindex; do not touch except safety maintenance."
privacy-policy-generator,needs_deeper_policy_review,legal_privacy_compliance_template,policy_review_required,no,no,yes,"Privacy policies are legal/compliance documents tied to jurisdiction, actual data practices, and tracking disclosures.","Do not index; run deeper privacy/legal review before any upgrade."
terms-generator,needs_deeper_policy_review,legal_terms_template,policy_review_required,no,no,yes,"Terms and conditions are legal documents with high reliance and enforceability risk.","Do not index; run deeper legal review before any upgrade."
cookie-policy-generator,needs_deeper_policy_review,legal_privacy_cookie_compliance,policy_review_required,no,no,yes,"Cookie policies depend on jurisdiction, actual tracking tools, consent mechanisms, and privacy compliance obligations.","Do not index; run deeper privacy/legal review before any upgrade."
disclaimer-generator,needs_deeper_policy_review,legal_disclaimer_template,policy_review_required,no,no,yes,"Disclaimers can create legal-reliance risk if presented as complete or effective legal protection.","Do not index; run deeper legal review before any upgrade."
refund-policy-generator,needs_deeper_policy_review,legal_compliance_ecommerce_policy,policy_review_required,no,no,yes,"Refund policies are ecommerce/legal/compliance sensitive and must match actual practices, jurisdictions, platforms, and processors.","Do not index; keep in deeper policy review hold."
affiliate-disclosure-generator,needs_deeper_policy_review,advertising_affiliate_compliance_template,policy_review_required,no,no,yes,"Affiliate disclosures are regulated advertising/compliance content tied to jurisdiction, platform, and relationship details.","Do not index; run deeper advertising/compliance review before any upgrade."
roast-generator,keep_noindex_risky,harassment_humiliation,not_safe_for_indexing,yes,no,no,"Roast generation is harassment and humiliation adjacent even with light/friendly framing.","Keep noindex; do not touch except safety maintenance."
tiktok-username-generator,needs_merge_or_canonical,platform_identity_duplicate,canonical_decision_required,no,yes,no,"Overlaps generic username/name tools and remains platform, availability, impersonation, and brand dependent.","Do not upgrade standalone; decide merge/canonical/noindex path first."
nda-generator,needs_deeper_policy_review,legal_contract_template,policy_review_required,no,no,yes,"NDAs are legal agreements with high reliance, enforceability, and jurisdiction risk.","Do not index; run deeper legal review before any upgrade."
service-agreement-generator,needs_deeper_policy_review,legal_commercial_contract_template,policy_review_required,no,no,yes,"Service agreements are commercial contracts with high legal, enforceability, and business-specific reliance risk.","Do not index; run deeper legal review before any upgrade."
token-generator,keep_noindex_risky,security_token_credential,not_safe_for_indexing,yes,no,no,"Token generation is credential/security adjacent even when browser-local or sample framed.","Keep noindex; do not touch except safety maintenance."
