keyword,normalized_keyword,decision,matched_existing_slug,matched_existing_tool_name,confidence,reason,recommended_action,risk_level,index_recommendation,notes
oc name generator,oc name generator,covered_by_existing_tool,character-name-generator,Character Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
silly name generator,silly name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
woman name generator,woman name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
xbox profile name generator,xbox profile name generator,covered_by_existing_tool,gamertag-generator,Gamertag Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
argonian name generator,argonian name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
behind the name generator,behind the name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
breton name generator,breton name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
cat name generator,cat name generator,covered_by_existing_tool,cat-name-generator,Cat Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
deity name generator,deity name generator,add_as_mode_or_option,fantasy-name-generator,Fantasy Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fantasy-name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
elvish name generator,elvish name generator,covered_by_existing_tool,elf-name-generator,Elf Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
fae name generator,fae name generator,covered_by_existing_tool,fairy-name-generator,Fairy Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
gnome name generator,gnome name generator,covered_by_existing_tool,gnome-name-generator,Gnome Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
ig name generator,instagram name generator,covered_by_existing_tool,instagram-name-generator,Instagram Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,medium,noindex,Covered by a noindex/sensitive retained tool.
mage name generator,mage name generator,covered_by_existing_tool,wizard-name-generator,Wizard Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
skyrim name generator,skyrim name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
tiefling name generator,tiefling name generator,covered_by_existing_tool,tiefling-name-generator,Tiefling Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
website name generator,website name generator,covered_by_existing_tool,domain-name-generator,Domain Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
wutang clan name generator,wutang clan name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
album name generator,album name generator,covered_by_existing_tool,song-name-generator,Song Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
boat name generator,boat name generator,covered_by_existing_tool,ship-name-generator,Ship Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
clan name generator,clan name generator,covered_by_existing_tool,clan-name-generator,Clan Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
college name generator,college name generator,covered_by_existing_tool,college-name-generator,College Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,medium,noindex,Covered by a noindex/sensitive retained tool.
couple name generator,couple name generator,covered_by_existing_tool,couple-name-generator,Couple Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
fack name generator,fack name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
fancy name generator,fancy name generator,covered_by_existing_tool,fancy-text-generator,Fancy Text Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
french name generator,french name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
gamer name generator,gamer name generator,covered_by_existing_tool,username-generator,Username Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
guy name generator,guy name generator,covered_by_existing_tool,name-generator,Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
movie name generator,movie name generator,covered_by_existing_tool,movie-name-generator,Movie Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
nord name generator,nord name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
pen name generator,pen name generator,covered_by_existing_tool,pen-name-generator,Pen Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
playlist name generator,playlist name generator,covered_by_existing_tool,playlist-name-generator,Playlist Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
roman name generator,roman name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
russian name generator,russian name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
saiyan name generator,saiyan name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
screen name generator,screen name generator,covered_by_existing_tool,username-generator,Username Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
secret santa name generator,secret santa name generator,covered_by_existing_tool,secret-santa-name-generator,Secret Santa Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
sibling name generator,sibling name generator,covered_by_existing_tool,sibling-name-generator,Sibling Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
stand name generator ai,stand name generator ai,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
twilek name generator,twilek name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
40k name generator,40k name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
anagram of name generator,anagram of name generator,covered_by_existing_tool,anagram-of-name-generator,Anagram Of Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
angel name generator,angel name generator,covered_by_existing_tool,angel-name-generator,Angel Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
asian name generator,asian name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
cowboy name generator,cowboy name generator,covered_by_existing_tool,cowboy-name-generator,Cowboy Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
cyberpunk crew name generator,cyberpunk crew name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
d n d name generator,dnd name generator,covered_by_existing_tool,fantasy-name-generator,Fantasy Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
diner name generator,diner name generator,covered_by_existing_tool,diner-name-generator,Diner Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
discord name generator,discord name generator,covered_by_existing_tool,discord-name-generator,Discord Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
dj name generator,dj name generator,covered_by_existing_tool,disc-jockey-names-generator,DJ Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
draw names generator,draw name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
dunmer name generator,dunmer name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
food truck name generator,food truck name generator,covered_by_existing_tool,food-truck-name-generator,Food Truck Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
gang name generator,gang name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
githyanki name generator,githyanki name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
godaddy name generator,godaddy name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
mon calamari names generator,mon calamari name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
name card qr code generator,qr code generator,covered_by_existing_tool,qr-code-text-generator,QR Code Text Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
name trace generator,name trace generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
name tracing generator,name tracing generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
navi name generator,navi name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
neural network model name generator,neural network model name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
pet name generator,pet name generator,covered_by_existing_tool,wolf-name-generator,Wolf Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
random account name generator,random account name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
signature generator for my name,signature generator for my name,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
stripper name generator,stripper name generator,hold_sensitive_or_brand_risk,,,high,"Sensitive, adult, regulated, impersonation, security, audio/voice, or non-browser-heavy media/tooling intent.",Hold; do not build without separate policy/product review and likely noindex.,high,hold,Not suitable for automatic expansion in this audit.
tavern name generator,tavern name generator,covered_by_existing_tool,tavern-name-generator,Tavern Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
wow name generator,wow name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
app name generator,app name generator,covered_by_existing_tool,product-name-generator,Product Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
asia name generator,asia name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
buisness name generator,business name generator,covered_by_existing_tool,business-name-generator,Business Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
catchy name generator,catchy name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
cute name generator,cute name generator,add_as_mode_or_option,fancy-text-generator,Fancy Text Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fancy-text-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
cyberpunk name generator,cyberpunk name generator,covered_by_existing_tool,cyberpunk-name-generator,Cyberpunk Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
druid name generator,druid name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
elder scrolls name generator,elder scrolls name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
fortnite name generator,fortnite name generator,covered_by_existing_tool,fortnite-name-generator,Fortnite Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,medium,noindex,Covered by a noindex/sensitive retained tool.
furry name generator,furry name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
game of thrones name generator,game of thrones name generator,add_as_faq_or_seo_section,fantasy-name-generator,Fantasy Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under fantasy-name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
gaming name generator,gaming name generator,covered_by_existing_tool,gaming-name-generator,Gaming Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
gangster name generator,gangster name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
graffiti name generator,graffiti name generator,add_as_mode_or_option,fancy-text-generator,Fancy Text Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fancy-text-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
guild name generator,guild name generator,covered_by_existing_tool,clan-name-generator,Clan Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
italian name generator,italian name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
iupac name generator,iupac name generator,covered_by_existing_tool,iupac-name-generator,IUPAC Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
man name generator,man name generator,covered_by_existing_tool,name-generator,Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
monster name generator,monster name generator,covered_by_existing_tool,monster-name-generator,Monster Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
name combiner generator,name combiner generator,covered_by_existing_tool,couple-name-generator,Couple Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
name shipping generator,name shipping generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
nordic name generator,nordic name generator,covered_by_existing_tool,viking-name-generator,Viking Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
pubg name generator,pubg name generator,covered_by_existing_tool,gaming-name-generator,Gaming Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
puppy name generator,puppy name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
random bleach name generator,random bleach name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
reddit name generator,reddit name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
reedsy name generator,reedsy name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
robot name generator,robot name generator,covered_by_existing_tool,robot-name-generator,Robot Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
scottish name generator,scottish name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
tabaxi name generator,tabaxi name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
team name generator using keywords,team name generator using keyword,covered_by_existing_tool,team-name-generator-using-keywords,Team Name Generator By Keyword,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
transformers name generator,transformers name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
