master_keyword,final_status,confidence,existing_tool_slug,final_tool_name,final_slug,category,reason,recommended_action
"2024 generation name","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"drug name generator fivem","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"onlyfans name generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"generation names","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"text generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"generator cool text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"image generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"ascii generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"script generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"secret santa generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"nsfw text generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"cool generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"devicenet tag generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"beanie baby generation tags","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"pokemon tcg tag team generations premium collection","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"elderly generation name tags","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"apple airtag generations","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"o2 generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"super quiet generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"winding generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"nsfw ai text generator","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"iphone generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
"morse code generator text","OUT_OF_SCOPE_OR_UNSAFE","high","","","","","Matches policy or out-of-scope pattern","Skip"
