"rank","slug","tool_name","category","index_priority","current_output_quality","why_next","recommended_next_action"
"11","diner-name-generator","Diner Name Generator","Business Generators","low","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"12","flower-name-generator","Flower Name Generator","Creative & Story Generators","low","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"13","newspaper-name-generator","Newspaper Name Generator","Creative & Story Generators","low","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"14","plant-name-generator","Plant Name Generator","Creative & Story Generators","medium","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"15","cake-company-names-generator","Cake Company Names Generator","Business Generators","high","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"16","car-name-generator","Car Name Generator","Creative & Story Generators","medium","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"17","title-name-generator","Title Name Generator","Creative & Story Generators","medium","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"18","cyberpunk-name-generator","Cyberpunk Name Generator","Creative & Story Generators","medium","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"19","goth-name-generator","Goth Name Generator","Creative & Story Generators","low","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
"20","scifi-name-generator","Sci-Fi Name Generator","Creative & Story Generators","medium","okay","Safe clear keyword intent with strong creative or commercial user value; current output is not deeply upgraded and can benefit from structured premium variants.","Upgrade in Pass 16 with intent-specific grouped output, option-aware sections, per-result copy, copy-all support, originality notes, and concise safety guidance."
