master_keyword,final_status,confidence,existing_tool_slug,final_tool_name,final_slug,category,reason,recommended_action
"fantasy football name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy football' applied to 'name-generator'","Add as mode/filter"
"fantasy city name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy city' applied to 'name-generator'","Add as mode/filter"
"fantasy last name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy last' applied to 'name-generator'","Add as mode/filter"
"fantasy world name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy world' applied to 'name-generator'","Add as mode/filter"
"fantasy team name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy team' applied to 'name-generator'","Add as mode/filter"
"fantasy country name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy country' applied to 'name-generator'","Add as mode/filter"
"fantasy realm name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy realm' applied to 'name-generator'","Add as mode/filter"
"dnd human name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'dnd human' applied to 'name-generator'","Add as mode/filter"
"fantasy place name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy place' applied to 'name-generator'","Add as mode/filter"
"fantasy village name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy village' applied to 'name-generator'","Add as mode/filter"
"fantasy location name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy location' applied to 'name-generator'","Add as mode/filter"
"female fantasy name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'female fantasy' applied to 'name-generator'","Add as mode/filter"
"d and d fantasy name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'd and d fantasy' applied to 'name-generator'","Add as mode/filter"
"fantasy family name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy family' applied to 'name-generator'","Add as mode/filter"
"female elf name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'female elf' applied to 'name-generator'","Add as mode/filter"
"warhammer fantasy name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'warhammer fantasy' applied to 'name-generator'","Add as mode/filter"
"fantasy continent name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy continent' applied to 'name-generator'","Add as mode/filter"
"fantasy male name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy male' applied to 'name-generator'","Add as mode/filter"
"fantasy god name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy god' applied to 'name-generator'","Add as mode/filter"
"fantasy land name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'fantasy land' applied to 'name-generator'","Add as mode/filter"
"final fantasy 14 name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'final fantasy 14' applied to 'name-generator'","Add as mode/filter"
"final fantasy name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'final fantasy' applied to 'name-generator'","Add as mode/filter"
"female name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'female' applied to 'name-generator'","Add as mode/filter"
"american name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'american' applied to 'name-generator'","Add as mode/filter"
"chinese name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'chinese' applied to 'name-generator'","Add as mode/filter"
"english name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'english' applied to 'name-generator'","Add as mode/filter"
"german name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'german' applied to 'name-generator'","Add as mode/filter"
"native american name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'native american' applied to 'name-generator'","Add as mode/filter"
"random full name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'random full' applied to 'name-generator'","Add as mode/filter"
"american native name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'american native' applied to 'name-generator'","Add as mode/filter"
"african american name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'african american' applied to 'name-generator'","Add as mode/filter"
"magical girl name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'magical girl' applied to 'name-generator'","Add as mode/filter"
"american indian name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'american indian' applied to 'name-generator'","Add as mode/filter"
"japanese family name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'japanese family' applied to 'name-generator'","Add as mode/filter"
"male chinese name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'male chinese' applied to 'name-generator'","Add as mode/filter"
"afro american name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'afro american' applied to 'name-generator'","Add as mode/filter"
"japanese male name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'japanese male' applied to 'name-generator'","Add as mode/filter"
"male japanese name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'male japanese' applied to 'name-generator'","Add as mode/filter"
"old english name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'old english' applied to 'name-generator'","Add as mode/filter"
"creative business name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'creative business' applied to 'name-generator'","Add as mode/filter"
"japanese city name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'japanese city' applied to 'name-generator'","Add as mode/filter"
"japanese town name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'japanese town' applied to 'name-generator'","Add as mode/filter"
"boy band name generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'boy band' applied to 'name-generator'","Add as mode/filter"
"random surname generator","SHOULD_BE_MODE_OR_OPTION","high","name-generator","Name Generator","name-generator","name-generators","Modifier 'random sur' applied to 'name-generator'","Add as mode/filter"
"wood name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"ghostbusters name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"price is right name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"army name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"disney name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"doctor name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"family feud name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"minecraft name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"csgo name tag generator","SHOULD_BE_MODE_OR_OPTION","high","name-tag-generator","Name Tag Generator","name-tag-generator","utility-generators","Sub-type of existing tool","Add as mode/option"
"asset tag barcode generator","SHOULD_BE_MODE_OR_OPTION","high","barcode-generator","Barcode Text Generator","barcode-generator","developer-generators","Sub-type of existing tool","Add as mode/option"
"ai youtube tag generator","SHOULD_BE_MODE_OR_OPTION","high","youtube-tag-generator","YouTube Tag Generator","youtube-tag-generator","social-media-tools","Sub-type of existing tool","Add as mode/option"
"name color palette generator","SHOULD_BE_MODE_OR_OPTION","high","color-palette-generator","Color Palette Generator","color-palette-generator","developer-generators","Sub-type of existing tool","Add as mode/option"
"apa in text citation generator","SHOULD_BE_MODE_OR_OPTION","high","citation-generator","Citation Generator","citation-generator","ai-writing-generators","Sub-type of existing tool","Add as mode/option"
"mla in text citation generator","SHOULD_BE_MODE_OR_OPTION","high","citation-generator","Citation Generator","citation-generator","ai-writing-generators","Sub-type of existing tool","Add as mode/option"
"text to barcode generator","SHOULD_BE_MODE_OR_OPTION","high","barcode-generator","Barcode Text Generator","barcode-generator","developer-generators","Sub-type of existing tool","Add as mode/option"
"iphone fake text generator","SHOULD_BE_MODE_OR_OPTION","high","fake-text-generator","Fake Text Generator","fake-text-generator","text-font-generators","Sub-type of existing tool","Add as mode/option"
