slug,tool_name,category,current_output_problem,exact_intent_specific_features_to_add,maximum_relevant_options,expected_output_structure,per_result_actions,competitor_beating_features,safety_notes,validation_notes
proposal-generator,Proposal Generator,Business Generators,"Current output likely gives a broad proposal outline without client context, scope, deliverables, timeline, pricing notes, or assumptions.","Add proposal package with executive summary, client problem, solution, deliverables, timeline, investment placeholder, assumptions, next steps, and terms note.","Proposal type; client type; tone; project length; include pricing placeholder; include timeline; include assumptions.","Professional proposal sections, scope block, deliverables, timeline, investment note, next-step CTA.","Copy section; copy full proposal; copy timeline; copy assumptions.","Client-ready modular proposal draft beats one generic persuasive paragraph.","Avoid legal/accounting claims; pricing/taxes/contracts are drafts users must verify.","Confirm slug exists; avoid duplicate implementation with missing business/project proposal slugs."
bibliography-generator,Bibliography Generator,AI Text & Writing Generators,"Current output may provide citation-style text without source checklist, missing-field warnings, or bibliography grouping.","Add bibliography builder outputs for APA, MLA, Chicago, and Harvard with source-type blocks, missing field checklist, and alphabetized draft notes.","Citation style; source type; author/title/year fields; URL/DOI; include annotations; include checklist.","Bibliography entry draft, alternate style variants, missing fields, annotation starter, verification checklist.","Copy citation; copy style group; copy checklist; copy all.","Field validation and annotation starters beat static citation examples.","Do not claim perfect citation accuracy; remind users to verify against official style guides.","Report as replacement; confirm slug exists; ensure citation templates do not fabricate source metadata."
quotation-generator,Quotation Generator,Business Generators,"Current output likely creates a simple quote without itemized blocks, validity period, exclusions, acceptance terms, or client notes.","Add quotation document with quote metadata, itemized products/services, subtotal/tax placeholders, validity period, scope notes, exclusions, acceptance line, and next steps.","Client; service/product type; currency; item count; validity period; include tax placeholder; include terms note.","Quote header, item table, totals block, terms/validity, notes, acceptance section.","Copy quote; copy item table; copy terms; copy all.","Itemized copy/export-friendly quote sections beat a plain price estimate.","No accounting/legal claims; users must verify prices, tax, and terms before sending.","Confirm slug exists; validate totals are placeholders or clearly calculated only from user inputs."
estimate-generator,Estimate Generator,Business Generators,"Current output likely gives a generic estimate without assumptions, itemized labor/materials, risk notes, or client-ready formatting.","Add estimate package with project summary, itemized estimate blocks, assumptions, exclusions, optional ranges, timeline, approval note, and revision reminder.","Project type; currency; estimate style; item count; include range; include assumptions; include timeline.","Estimate header, scope summary, itemized cost blocks, assumptions/exclusions, timeline, approval section.","Copy estimate; copy itemized block; copy assumptions; copy all.","Assumptions and range handling make it more professional than static estimate templates.","Avoid accounting/legal guarantees; estimates are drafts and final pricing must be verified.","Confirm slug exists; ensure ranges are labeled as estimates, not guaranteed totals."
purchase-order-generator,Purchase Order Generator,Business Generators,"Current output likely lacks PO metadata, vendor/buyer sections, delivery details, authorization, and itemized ordering logic.","Add PO template with buyer/vendor blocks, PO number/date, delivery address, item table, totals placeholder, shipping terms, approval, and notes.","Buyer/vendor; currency; item count; delivery terms; payment terms; include approval block; include notes.","Purchase order header, party details, itemized table, delivery/payment terms, authorization block.","Copy PO; copy item table; copy terms; copy all.","Procurement-ready structure with authorization and delivery terms beats generic order text.","Not a legal/accounting document; users must verify supplier, tax, and authorization requirements.","Confirm slug exists; validate no generated PO number implies official system record."
receipt-generator,Receipt Generator,Business & Brand Generators,"Current output likely creates a receipt template without clear payment metadata, itemization, refund note, and customer copy structure.","Add receipt package with seller/customer blocks, receipt number/date, payment method placeholder, itemized rows, totals, notes, refund/exchange policy placeholder, and customer message.","Business type; currency; item count; payment method; include tax placeholder; include refund note; include customer message.","Receipt header, item table, payment summary, notes, policy placeholder, customer copy.","Copy receipt; copy item table; copy policy note; copy all.","Customer-ready receipt sections and editable policy placeholder beat bare receipt text.","Avoid tax/accounting claims; policy text must be replaced with the user's real policy.","Confirm slug exists; ensure totals/policy notes are clearly draft placeholders."
letterhead-generator,Letterhead Generator,Business Generators,"Current output likely gives plain header text without layout hierarchy, contact variants, correspondence block, or print/email notes.","Add letterhead layouts with formal, modern, minimal, and email-friendly variants plus contact hierarchy, footer, reference line, and usage notes.","Business name; contact density; layout style; format; include footer; include reference line; include tagline.","Letterhead preview text, header block, footer block, email version, print handoff notes.","Copy header; copy footer; copy email version; copy all.","Multiple correspondence-ready layouts beat a single contact block.","Do not invent addresses, registrations, certifications, or legal footer text.","Confirm slug exists; verify long emails/URLs wrap in output cards."
follow-up-email-generator,Follow-Up Email Generator,AI Text & Writing Generators,"Replacement for missing thank-you-email-generator/resignation-letter-generator; current output may be one email without tone variants or section control.","Add follow-up email suite with subject lines, thank-you opener, context recap, value/next step, CTA, polite close, short version, warm version, and formal version.","Scenario; recipient type; tone; length; CTA type; timing; include subject lines; include thank-you note.","Subject line set, email sections, full variants, follow-up timing note, compliance-friendly checklist.","Copy subject; copy section; copy variant; copy all.","Scenario-aware follow-ups with tone variants beat a single generic email.","Avoid spam, deceptive urgency, fake familiarity, or false claims; keep user-fill proof optional.","Report as replacement; confirm slug exists; validate complete emails include subject and body."
text-summary-generator,Text Summary Generator,AI Text & Writing Generators,"Current output likely summarizes text without audience, format variants, action items, or document-ready extraction.","Add summary suite with executive summary, bullet summary, key points, action items, risks/open questions, TL;DR, and meeting-style recap.","Summary length; audience; format; include action items; include risks; include quote extraction; tone.","Summary sections, key points, action list, open questions, short TL;DR, copy-ready recap.","Copy summary; copy action items; copy TL;DR; copy all.","Multi-format extraction and action-item summary beat one generic condensed paragraph.","Do not fabricate facts not present in the input; mark unclear items as inferred or missing.","Report as replacement; confirm slug exists; validate empty/short input handling."
footnote-generator,Footnote Generator,AI Text & Writing Generators,"Current output likely creates generic footnote text without style formats, source fields, explanatory notes, or verification checklist.","Add footnote templates for academic, explanatory, source citation, web source, book/article, and short-form repeat note with missing-field checklist.","Citation style; source type; author/title/year fields; URL/page; footnote type; include bibliography note.","Footnote variants, short note, source field checklist, bibliography companion note, verification warning.","Copy footnote; copy short note; copy checklist; copy all.","Footnote type separation and repeat-note handling beat one static citation line.","Do not claim citation perfection; users should verify against official style guides and source metadata.","Report as replacement; confirm slug exists; ensure no fabricated publication details."
