slug,tool_name,category,index_priority,has_intent_specific_logic,output_quality,ui_quality,upgrade_priority,reason,recommended_next_action,classification
youtube-name-generator,YouTube Channel Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
instagram-caption-generator,Instagram Caption Generator,Bio & Caption Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
nickname-generator,Nickname Generator,Name Generators,medium,yes,okay,good,low,"Has slug-specific logic and options that satisfy the basic user intent, but not enough search value or batch fit to prioritize immediately.",Keep as good-enough; consider after higher-value gaps are closed.,good_enough
hashtag-generator,Hashtag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
etsy-tag-generator,Etsy Tag Generator,SEO & Marketing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
writing-prompt-generator,Writing Prompt Generator,AI Text & Writing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
text-to-binary-generator,Text to Binary Converter,Developer & Web Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
morse-code-generator,Morse Code Generator,Developer & Web Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
star-wars-name-generator,Star Wars Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
anime-name-generator,Anime Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
fake-name-generator,Fake Name Generator,Utility Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
qr-code-text-generator,QR Code Text Generator,Utility Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
dnd-name-generator,D&D Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
orc-name-generator,Orc Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
witch-name-generator,Witch Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
vampire-name-generator,Vampire Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
fairy-name-generator,Fairy Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
goblin-name-generator,Goblin Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
character-name-generator,Character Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
story-name-generator,Story Title Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
random-phrase-generator,Random Phrase Generator,Random Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
special-character-generator,Special Character Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
ascii-text-generator,ASCII Text Art Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
creepy-text-generator,Creepy Text Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
gaming-name-generator,Gaming Name Generator,Gaming & Fantasy Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
guild-name-generator,Guild Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
planet-name-generator,Planet Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
island-name-generator,Island Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
shop-name-generator,Shop Name Generator,Business & Brand Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
cafe-name-generator,Cafe Name Generator,Business & Brand Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
project-name-generator,Project Name Generator,Business & Brand Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
stage-name-generator,Stage Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
wrestling-name-generator,Wrestling Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
cool-text-generator,Cool Text Generator,Font & Text Style Generators,low,yes,okay,basic,low,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
old-english-text-generator,Old English Text Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
uwu-text-generator,UwU Text Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
leet-text-generator,Leet Speak Generator,Font & Text Style Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
random-text-generator,Random Text Generator,Random Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
discord-timestamp-generator,Discord Timestamp Generator,Developer & Web Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
canonical-tag-generator,Canonical Tag Generator,SEO & Marketing Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
utm-generator,UTM Link Generator,SEO & Marketing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
gibberish-generator,Gibberish Generator,Random Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
shakespeare-insult-generator,Shakespeare Insult Generator,Random Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
roblox-name-generator,Roblox Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
tiktok-name-generator,TikTok Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
instagram-name-generator,Instagram Name Generator,Creative & Story Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
couple-name-generator,Couple Name Generator,Name Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
dwarf-name-generator,Dwarf Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
tiefling-name-generator,Tiefling Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
harry-potter-name-generator,Harry Potter Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
pokemon-name-generator,Pokemon Name Generator,Gaming & Fantasy Generators,noindex,yes,okay,basic,none,"Low-priority, franchise-adjacent, novelty, or thin utility intent; not a good next premium batch candidate.","Leave as-is for now; revisit only for cleanup, safety, or noindex decisions.",noindex_or_low_priority
school-name-generator,School Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
street-name-generator,Street Name Generator,Gaming & Fantasy Generators,medium,yes,okay,basic,medium,"Clear enough user intent, but current output lacks deeper structured premium formatting or robust option-aware copy.",Consider for a later coherent premium pass if it fits the next batch theme.,needs_premium_upgrade
book-club-name-generator,Book Club Name Generator,Creative & Story Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
seo-title-generator,SEO Title Generator,SEO & Marketing Generators,high,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
facebook-hashtag-generator,Facebook Hashtag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
pinterest-tag-generator,Pinterest Tag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
soundcloud-tag-generator,SoundCloud Tag Generator,Social Media & Tag Generators,medium,yes,premium,premium,none,"Current renderer has slug-specific premium output with structured copy blocks, grouped cards, or a premium visual/section suite.",No upgrade now; keep in regression QA.,premium_done
