section,item,recommendation,details
Technical SEO,Hreflang strategy,Same-tool alternates only,"Build hreflang from canonicalToolId route map. Include only available localized versions of the same tool or hub, not language homepages."
Technical SEO,x-default,English same tool,"Use x-default pointing to the English same-tool URL for tool pages; for localized homepages use x-default to /."
Technical SEO,Sitemaps,Language-aware sitemap indexes,"Generate localized sitemap entries only for indexable localized pages. Optionally split by language once scale grows."
Technical SEO,Sitemap exclusions,Mirror noindex exclusions,"Localized noindex pages are excluded from sitemap. Redirected/removed localized routes are never included."
Technical SEO,HTML lang,Per language,"Set html lang to the BCP 47 code for the current page, e.g. es, fr, de, hi, bn, ar."
Technical SEO,HTML dir,Arabic RTL,"Set dir=rtl for ar and dir=ltr for the other target languages unless a future language requires RTL."
Technical SEO,UTF-8,Required,"Keep UTF-8 across source, build output, sitemap XML, JSON-LD, meta tags, and CSV/import pipelines. Add mojibake tests."
Noindex policy,Initial recommendation,Do not localize noindex tools initially,"Safest launch: localize only indexable English tools. Leave the 51 active noindex tools in English only until a separate safety review approves localized noindex pages."
Noindex policy,Future option,Mirror noindex if localized,"If noindex tools are localized later, keep them noindex/follow, exclude from sitemap, omit from SEO hubs, and avoid promoting in discovery sections."
Noindex policy,Removed redirects,Never standalone,"Do not create localized standalone pages for the 20 redirected/merged routes. Create localized redirects only if needed for user navigation."
Data model,supportedLanguages,Create config,"Fields: code, label, nativeName, locale, dir, slugStrategy, enabled, indexable, fallbackLang."
Data model,localizedRouteMap,Create data layer,"Fields: canonicalToolId, lang, localizedSlug, route, status, indexable, canonicalUrl, sourceQuality, reviewer, updatedAt."
Data model,localizedMetadata,Create content layer,"Fields: title, h1, metaTitle, metaDescription, primaryKeyword, secondaryKeywords, ogTitle, ogDescription."
Data model,localizedContent,Create content layer,"Fields: intro, tagline, faqItems, guideSections, safeUseNote, examples, relatedIntro, hubDescriptions."
Data model,languageSwitchResolver,Create resolver,"Input current canonicalToolId/current route/targetLang. Output same localized tool route if ready; else English same-tool; else same-language hub; homepage only as last resort."
Data model,hreflangBuilder,Create builder,"Build alternates from route map for same canonicalToolId or hubId. Include self, English, available localized pages, and x-default."
Data model,localizedSitemapBuilder,Create builder,"Emit only localized pages where status=ready and indexable=true and canonicalToolId is not noindex/redirected."
Data model,localizedHubs,Create hub mapping,"Stable hubId with localized slug, title, intro, FAQs, related hub IDs, and included canonicalToolIds."
Fallback behavior,Missing same-tool localization,English same tool first,"Language switch should prefer /tools/{english-slug}/, preserving user intent over language consistency."
Fallback behavior,Missing English same tool,Same-language hub second,"Only if the exact tool is unavailable or intentionally not localized, use the most relevant same-language hub."
Fallback behavior,Homepage fallback,Last resort,"Never send to unrelated homepage unless no safe same-tool or hub alternative exists."
Validation,Duplicate slugs,Required,"Fail build or audit if any language has duplicate localized slugs within tools or hubs."
Validation,Route map completeness,Required,"Audit missing localized route mappings for every enabled language and planned tool."
Validation,Language switch correctness,Required,"For sampled and eventually all pages, switching languages must preserve canonicalToolId or documented fallback reason."
Validation,Hreflang correctness,Required,"Check reciprocal hreflang, valid language codes, no alternates to missing/noindex/redirected pages, and x-default correctness."
Validation,Sitemap correctness,Required,"Check localized sitemap includes only indexable localized pages, excludes noindex and redirected pages, and contains production URLs."
Validation,Canonical correctness,Required,"Check self-canonical on every real localized page and no cross-language canonical to English."
Validation,English safety,Required,"Assert English routes, slugs, tool counts, redirects, noindexToolSlugs, and sitemap exclusion logic remain unchanged."
Validation,Internal links,Required,"Check localized homepage, hubs, categories, related tools, footer, and language switch links for broken URLs and noindex leaks."
Validation,Build performance,Required,"Measure generated page count, build time, memory use, sitemap size, client bundle size, and static route generation time by batch."
Page scale,English current,459 built pages,"Current production-ready English build remains the baseline."
Page scale,All active localized tools,7310 localized tool pages,"430 active tools times 17 localized languages, if all active tools eventually get localized pages."
Page scale,All indexable localized tools,6443 localized indexable tool pages,"379 indexable tools times 17 localized languages, if noindex tools are not localized initially."
Page scale,Full site estimated,about 6800 to 7600 pages,"Depends on localized hubs, category pages, homepages, legal pages, and whether noindex tools are localized."
