slug,risk_type,category_group,current_noindex_status,premium_content_readiness,remaining_risk,recommended_decision,reason
tiktok-caption-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Caption drafts can encourage spam clickbait trend chasing unsupported claims or engagement expectations",index_later,"Higher engagement-risk surface than profile/name tools; hold for later explicit platform-policy hardening"
linkedin-post-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Professional post drafts can imply fake authority fake proof or engagement expectations",index_later,"Index later after explicit proof claim and professional disclosure hardening"
x-post-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Short-form posts can drift into spam outrage bait unsupported claims or engagement expectations",index_later,"Higher moderation and spam surface than profile/name tools; hold for later"
youtube-hook-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Hook drafts can become misleading clickbait or imply guaranteed retention and growth",index_later,"Useful but needs strong anti-clickbait and no-performance framing before indexing"
twitter-card-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Metadata can be misused for misleading previews fake claims or platform preview assumptions",index_later,"Developer/SEO utility may be indexable later after explicit preview accuracy and platform-cache framing"
tiktok-username-generator,platform_abuse,social profile/content tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Username ideas can drift into impersonation availability claims or platform evasion",index_later,"More identity and handle-risk than generic name brainstorming; hold for later"
youtube-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Tags can be used for spam keyword stuffing misleading relevance or ranking expectations",index_later,"Potentially indexable after anti-spam no-ranking and relevance-only hardening"
instagram-hashtag-generator,platform_abuse,hashtag/tag tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Hashtags can be used for spam fake reach or engagement expectations",index_later,"Hold until hashtag tools receive explicit anti-spam and no-reach-guarantee framing"
tiktok-hashtag-generator,platform_abuse,hashtag/tag tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Hashtags can be used for spam trend abuse or engagement expectations",index_later,"Hold until hashtag tools receive explicit anti-spam and no-reach-guarantee framing"
etsy-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Marketplace tags can imply fake ranking search placement or unsupported product attributes",index_later,"Hold until marketplace tag relevance and no-ranking framing is explicit"
facebook-hashtag-generator,platform_abuse,hashtag/tag tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Hashtags can be used for spam fake reach or engagement expectations",index_later,"Hold until hashtag tools receive explicit anti-spam and no-reach-guarantee framing"
pinterest-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Tags can be used for spam misleading relevance or traffic expectations",index_later,"Hold until tag relevance and no-traffic-guarantee framing is explicit"
soundcloud-tag-generator,platform_abuse,hashtag/tag tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Tags can be used for spam misleading genre claims or play-growth expectations",index_later,"Hold until tag relevance and no-play-growth framing is explicit"
midjourney-prompt-generator,platform_abuse,AI prompt tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","AI prompt output can drift into platform affiliation IP copying or unsafe image-generation claims",index_later,"Index later after explicit AI platform non-affiliation IP and policy-safety hardening"
stable-diffusion-prompt-generator,platform_abuse,AI prompt tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","AI prompt output can drift into IP copying unsafe image-generation claims or model capability assumptions",index_later,"Index later after explicit AI safety IP and no-guaranteed-output hardening"
chatgpt-prompt-generator,platform_abuse,AI prompt tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Prompt drafts can imply AI accuracy automation reliability or platform affiliation",index_later,"Index later after explicit fact-check no-affiliation and no-accuracy-guarantee hardening"
dalle-prompt-generator,platform_abuse,AI prompt tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Image prompt drafts can imply platform affiliation IP copying or guaranteed visual outcomes",index_later,"Index later after explicit AI platform non-affiliation IP and no-output-guarantee hardening"
purchase-order-generator,legal_template,legal/business docs,yes,"premium_done but legal-template risk requires separate review before indexing","Business document can be mistaken for legal financial compliance or official procurement advice",keep_noindex,"Keep noindex for now despite cleanup-candidate status because legal and commercial document reliance risk is high"
quotation-generator,legal_template,legal/business docs,yes,"premium_done but legal-template risk requires separate review before indexing","Quotation document can be mistaken for binding commercial legal tax or compliance advice",keep_noindex,"Keep noindex for now despite cleanup-candidate status because legal and commercial document reliance risk is high"
shakespeare-insult-generator,humor_abuse,humor tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Insult output can be used for harassment bullying protected-class targeting or unwanted contact",index_later,"Hold until humor pages get stronger consent anti-harassment and safe-use framing"
comeback-generator,humor_abuse,humor tools,yes,"premium_done but needs explicit FAQ and disclaimer before indexing","Comeback output can be used for harassment escalation bullying or targeted abuse",index_later,"Hold until humor pages get stronger consent anti-harassment and de-escalation framing"
ao3-tag-generator,brand_ip,brand/IP or other,yes,"premium_done but brand/IP and platform context requires separate review before indexing","Named third-party platform and fandom context creates affiliation IP scraping and rights-risk surface",keep_noindex,"Keep noindex for now because brand/IP and platform-specific risk is higher than generic social profile/name tools"
