keyword,target_slug,action_type,reason,suggested_copy_or_option
mandarin name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention mandarin name generator as a synonym/use case in FAQ or supporting SEO copy.
random name generator from list,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention random name generator from list as a synonym/use case in FAQ or supporting SEO copy.
romanized name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention romanized name generator as a synonym/use case in FAQ or supporting SEO copy.
royal name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention royal name generator as a synonym/use case in FAQ or supporting SEO copy.
rpg name generator,fantasy-name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention rpg name generator as a synonym/use case in FAQ or supporting SEO copy.
space marine name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention space marine name generator as a synonym/use case in FAQ or supporting SEO copy.
stand name generator jjba,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention stand name generator jjba as a synonym/use case in FAQ or supporting SEO copy.
stylish name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention stylish name generator as a synonym/use case in FAQ or supporting SEO copy.
us name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention us name generator as a synonym/use case in FAQ or supporting SEO copy.
usa name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention usa name generator as a synonym/use case in FAQ or supporting SEO copy.
women name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional women name mode/filter if analytics support it.
celtic name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention celtic name generator as a synonym/use case in FAQ or supporting SEO copy.
chapter name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention chapter name generator as a synonym/use case in FAQ or supporting SEO copy.
choose name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention choose name generator as a synonym/use case in FAQ or supporting SEO copy.
egyptian name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention egyptian name generator as a synonym/use case in FAQ or supporting SEO copy.
free ambigram generator two names,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention free ambigram generator two names as a synonym/use case in FAQ or supporting SEO copy.
fursona name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention fursona name generator as a synonym/use case in FAQ or supporting SEO copy.
gift exchange name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention gift exchange name generator as a synonym/use case in FAQ or supporting SEO copy.
house name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention house name generator as a synonym/use case in FAQ or supporting SEO copy.
mexican name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional mexican name mode/filter if analytics support it.
name generator antasy,fantasy-name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention name generator antasy as a synonym/use case in FAQ or supporting SEO copy.
non binary name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional non binary name mode/filter if analytics support it.
nonbinary name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional nonbinary name mode/filter if analytics support it.
organization name generator,team-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional organization name mode/filter if analytics support it.
polish name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional polish name mode/filter if analytics support it.
scientific name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention scientific name generator as a synonym/use case in FAQ or supporting SEO copy.
succubus name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention succubus name generator as a synonym/use case in FAQ or supporting SEO copy.
theme park name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention theme park name generator as a synonym/use case in FAQ or supporting SEO copy.
weird name generator,fancy-text-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional weird name mode/filter if analytics support it.
agency name generator,business-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional agency name mode/filter if analytics support it.
amusement park name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention amusement park name generator as a synonym/use case in FAQ or supporting SEO copy.
christmas name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention christmas name generator as a synonym/use case in FAQ or supporting SEO copy.
clone trooper name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention clone trooper name generator as a synonym/use case in FAQ or supporting SEO copy.
cool psn names generator,fancy-text-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional cool psn name mode/filter if analytics support it.
creature name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional creature name mode/filter if analytics support it.
crossword name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention crossword name generator as a synonym/use case in FAQ or supporting SEO copy.
first and second name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention first and second name generator as a synonym/use case in FAQ or supporting SEO copy.
gaelic name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention gaelic name generator as a synonym/use case in FAQ or supporting SEO copy.
game name generator with keywords,hashtag-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional game name  with keyword mode/filter if analytics support it.
generator antique first names with x,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional antique first name with twitter mode/filter if analytics support it.
goofy name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention goofy name generator as a synonym/use case in FAQ or supporting SEO copy.
greek god name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional greek god name mode/filter if analytics support it.
hispanic name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional hispanic name mode/filter if analytics support it.
king name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention king name generator as a synonym/use case in FAQ or supporting SEO copy.
kitsune name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention kitsune name generator as a synonym/use case in FAQ or supporting SEO copy.
leprechaun name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention leprechaun name generator as a synonym/use case in FAQ or supporting SEO copy.
lion coaliiton name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention lion coaliiton name generator as a synonym/use case in FAQ or supporting SEO copy.
military operation name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention military operation name generator as a synonym/use case in FAQ or supporting SEO copy.
musician name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention musician name generator as a synonym/use case in FAQ or supporting SEO copy.
name generator with keywords,hashtag-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional name  with keyword mode/filter if analytics support it.
necromancer name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional necromancer name mode/filter if analytics support it.
nobility name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention nobility name generator as a synonym/use case in FAQ or supporting SEO copy.
npc name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention npc name generator as a synonym/use case in FAQ or supporting SEO copy.
old west name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention old west name generator as a synonym/use case in FAQ or supporting SEO copy.
drow name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional drow name mode/filter if analytics support it.
fantasy football name generator,fantasy-name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention fantasy football name generator as a synonym/use case in FAQ or supporting SEO copy.
fantasy team name generator,team-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional fantasy team name mode/filter if analytics support it.
half elf name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional half elf name mode/filter if analytics support it.
family name generator fantasy,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional family name  fantasy mode/filter if analytics support it.
piraten namen generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention piraten namen generator as a synonym/use case in FAQ or supporting SEO copy.
blood elf name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional blood elf name mode/filter if analytics support it.
town name generator fantasy,fantasy-name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention town name generator fantasy as a synonym/use case in FAQ or supporting SEO copy.
city name generator fantasy,fantasy-name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention city name generator fantasy as a synonym/use case in FAQ or supporting SEO copy.
country name generator fantasy,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional country name  fantasy mode/filter if analytics support it.
motorcycle club name generator,team-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional motorcycle club name mode/filter if analytics support it.
night elf name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional night elf name mode/filter if analytics support it.
fantasy continent name generator,fantasy-name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention fantasy continent name generator as a synonym/use case in FAQ or supporting SEO copy.
alien name generator girl,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional alien name  girl mode/filter if analytics support it.
demon slayer name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention demon slayer name generator as a synonym/use case in FAQ or supporting SEO copy.
fantasy god name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional fantasy god name mode/filter if analytics support it.
high elf name generator,fantasy-name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional high elf name mode/filter if analytics support it.
female name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional female name mode/filter if analytics support it.
american name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional american name mode/filter if analytics support it.
chinese name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional chinese name mode/filter if analytics support it.
english name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional english name mode/filter if analytics support it.
german name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional german name mode/filter if analytics support it.
mexican name generator boy,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional mexican name  boy mode/filter if analytics support it.
chinese name generator male,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional chinese name  male mode/filter if analytics support it.
name generator japanese clan,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention name generator japanese clan as a synonym/use case in FAQ or supporting SEO copy.
korean name generator male,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional korean name  male mode/filter if analytics support it.
french name generator male,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional french name  male mode/filter if analytics support it.
magical girl name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention magical girl name generator as a synonym/use case in FAQ or supporting SEO copy.
russian name generator male,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional russian name  male mode/filter if analytics support it.
italian name generator male,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional italian name  male mode/filter if analytics support it.
chinese name generator female,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional chinese name  female mode/filter if analytics support it.
germanic name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention germanic name generator as a synonym/use case in FAQ or supporting SEO copy.
high valyrian last name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional high valyrian last name mode/filter if analytics support it.
japanese family name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional japanese family name mode/filter if analytics support it.
korean name generator female,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional korean name  female mode/filter if analytics support it.
male chinese name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional male chinese name mode/filter if analytics support it.
phonetic name generator,name-generator,FAQ/SEO section,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Mention phonetic name generator as a synonym/use case in FAQ or supporting SEO copy.
japanese male name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional japanese male name mode/filter if analytics support it.
male japanese name generator,name-generator,mode,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Add an optional male japanese name mode/filter if analytics support it.
